campaign_id,advertiser_id,campaign_name,start_date,end_date,total_budget_gbp,target_demographic_id
CAM0037,ADV016,Marks & Spencer — Seasonal Promo 37,2025-01-14,2025-01-30,466981.94,D004
CAM0038,ADV017,NatWest — Digital First 38,2025-10-01,2025-11-17,381296.27,D014
CAM0039,ADV017,NatWest — Summer Refresh 2025,2025-04-19,2025-05-14,378722.6,D005
CAM0040,ADV018,O2 — New Year Launch,2025-10-14,2025-12-05,462159.61,D008
CAM0041,ADV018,O2 — Product Launch 41,2025-07-10,2025-08-21,412158.57,D005
CAM0042,ADV018,O2 — Digital First 42,2025-07-18,2025-09-10,147804.15,D007
CAM0043,ADV019,BMW UK — Mass Market 43,2025-04-21,2025-05-16,276752.05,D011
CAM0044,ADV019,BMW UK — TV Burst 44,2025-07-18,2025-08-31,312262.82,D014
CAM0045,ADV019,BMW UK — Autumn Drive 2025,2025-10-01,2025-11-17,97911.71,D013
CAM0046,ADV020,Nestle UK — Autumn Drive 2025,2025-04-09,2025-05-03,492589.58,D009
CAM0047,ADV020,Nestle UK — Summer Refresh 2025,2025-07-07,2025-08-24,64537.87,D015
CAM0048,ADV021,Lidl UK — Product Launch 48,2025-04-17,2025-06-14,179437.39,D002
CAM0049,ADV021,Lidl UK — Winter Warmth 2025,2025-10-11,2025-11-29,74210.99,D009
CAM0050,ADV021,Lidl UK — Digital First 50,2025-04-21,2025-06-19,369295.45,D012
CAM0051,ADV022,Halifax — Autumn Drive 2025,2025-07-15,2025-08-09,492554.0,D003
CAM0052,ADV022,Halifax — Autumn Drive 2025,2025-01-13,2025-01-29,242828.52,D009
CAM0053,ADV023,EE — Spring Sale 2025,2025-01-11,2025-02-23,369360.18,D005
CAM0054,ADV023,EE — Seasonal Promo 54,2025-07-20,2025-08-06,398147.43,D010
CAM0055,ADV023,EE — Always On 1,2025-01-11,2025-02-27,148982.91,D006
CAM0056,ADV024,Renault UK — Winter Warmth 2025,2025-10-18,2025-12-05,231537.68,D012
CAM0057,ADV024,Renault UK — Always On 1,2025-07-11,2025-08-17,182108.46,D016
CAM0058,ADV025,Ryanair — Spring Sale 2025,2025-07-15,2025-08-13,457023.41,D008
CAM0059,ADV025,Ryanair — Spring Sale 2025,2025-10-04,2025-11-11,165465.75,D010
