session_id,user_id,session_start,session_end,platform,device_type,country,is_new_user
S0000022,U001468,2025-08-30T08:06:00,2025-08-30T09:40:00,android,tablet,GB,False
S0000023,U000008,2025-07-09T16:11:00,2025-07-09T16:21:00,ios,mobile,GB,True
S0000024,U001089,2025-06-18T13:24:00,2025-06-18T15:11:00,android,mobile,GB,False
S0000025,U000791,2025-11-12T15:43:00,2025-11-12T17:30:00,android,tablet,GB,False
S0000026,U000944,2025-05-01T14:54:00,2025-05-01T16:45:00,ios,tablet,GB,False
S0000027,U002741,2025-10-24T15:07:00,2025-10-24T15:15:00,ios,tablet,GB,False
S0000028,U003813,2025-07-31T20:48:00,2025-07-31T21:17:00,ctv,smart_tv,GB,False
S0000029,U002596,2025-01-12T13:55:00,2025-01-12T15:14:00,web,tablet,GB,False
S0000030,U002524,2025-02-09T09:53:00,2025-02-09T10:20:00,android,mobile,GB,False
S0000031,U001076,2025-01-26T15:42:00,2025-01-26T16:48:00,ctv,streaming_stick,GB,False
S0000032,U000695,2025-04-17T15:08:00,2025-04-17T17:04:00,web,tablet,GB,False
S0000033,U000567,2025-09-19T11:37:00,2025-09-19T13:00:00,ctv,smart_tv,GB,False
S0000034,U002407,2025-02-23T14:00:00,2025-02-23T15:44:00,android,mobile,GB,False
S0000035,U003197,2025-11-15T14:19:00,2025-11-15T15:26:00,android,tablet,GB,False
S0000036,U000323,2025-11-18T23:32:00,2025-11-18T23:41:00,ios,mobile,GB,False
S0000037,U000157,2025-01-04T20:20:00,2025-01-04T21:52:00,ios,mobile,GB,False
S0000038,U001107,2025-02-10T19:49:00,2025-02-10T20:19:00,ctv,smart_tv,GB,False
S0000039,U003561,2025-05-04T14:58:00,2025-05-04T15:48:00,ctv,smart_tv,GB,False
S0000040,U000803,2025-02-25T10:22:00,2025-02-25T11:01:00,web,tablet,GB,False
S0000041,U002538,2025-10-23T09:43:00,2025-10-23T10:48:00,android,mobile,GB,False
S0000042,U003968,2025-11-15T19:03:00,2025-11-15T20:25:00,web,mobile,GB,False
S0000043,U000963,2025-09-08T17:20:00,2025-09-08T18:54:00,ios,mobile,GB,False
S0000044,U000075,2025-10-21T13:40:00,2025-10-21T14:11:00,ctv,streaming_stick,GB,False
S0000045,U000103,2025-02-08T14:33:00,2025-02-08T14:39:00,ctv,smart_tv,GB,False
S0000046,U000337,2025-08-02T06:24:00,2025-08-02T07:06:00,ios,mobile,GB,False
S0000047,U001227,2025-12-02T13:38:00,2025-12-02T14:46:00,ios,mobile,GB,False
S0000048,U000241,2025-07-31T07:07:00,2025-07-31T07:59:00,web,tablet,GB,False
S0000049,U000826,2025-07-03T12:50:00,2025-07-03T14:33:00,android,mobile,GB,False
S0000050,U001770,2025-12-13T23:35:00,2025-12-14T00:49:00,android,tablet,GB,False
S0000051,U002301,2025-06-03T23:31:00,2025-06-03T23:41:00,android,mobile,GB,False
S0000052,U001132,2025-06-15T14:06:00,2025-06-15T15:38:00,android,tablet,GB,False
S0000053,U003000,2025-05-25T07:21:00,2025-05-25T09:20:00,web,tablet,GB,False
S0000054,U003657,2025-02-21T09:40:00,2025-02-21T10:57:00,ios,tablet,GB,False
S0000055,U000816,2025-05-01T15:49:00,2025-05-01T17:08:00,android,mobile,GB,True
S0000056,U001624,2025-09-12T15:01:00,2025-09-12T16:25:00,android,tablet,GB,False
S0000057,U001476,2025-06-20T17:54:00,2025-06-20T18:47:00,web,tablet,GB,False
S0000058,U002934,2025-04-07T16:09:00,2025-04-07T17:29:00,web,tablet,GB,True
S0000059,U003248,2025-06-17T19:50:00,2025-06-17T21:04:00,ios,mobile,GB,False
S0000060,U001329,2025-11-08T18:34:00,2025-11-08T18:44:00,ios,mobile,GB,False
S0000061,U000098,2025-04-16T18:09:00,2025-04-16T18:20:00,web,mobile,GB,False
S0000062,U002261,2025-10-18T17:19:00,2025-10-18T18:30:00,android,tablet,GB,False
S0000063,U002835,2025-09-24T15:35:00,2025-09-24T15:49:00,web,mobile,GB,False
S0000064,U001050,2025-12-20T17:59:00,2025-12-20T18:39:00,ctv,streaming_stick,GB,True
S0000065,U000235,2025-05-05T18:45:00,2025-05-05T19:39:00,android,mobile,GB,True
S0000066,U003599,2025-05-22T15:22:00,2025-05-22T16:05:00,web,desktop,GB,False
S0000067,U000448,2025-12-16T11:16:00,2025-12-16T12:25:00,android,mobile,GB,False
S0000068,U000035,2025-12-14T13:20:00,2025-12-14T14:06:00,ctv,streaming_stick,GB,False
S0000069,U002867,2025-06-15T20:27:00,2025-06-15T20:42:00,android,mobile,GB,False
S0000070,U000415,2025-02-01T08:53:00,2025-02-01T09:05:00,ctv,streaming_stick,GB,False
S0000071,U002709,2025-03-16T16:06:00,2025-03-16T17:14:00,web,mobile,GB,False
S0000072,U000449,2025-09-21T23:10:00,2025-09-21T23:47:00,web,mobile,GB,False
S0000073,U000155,2025-03-11T22:26:00,2025-03-12T00:15:00,android,tablet,GB,True
S0000074,U000506,2025-10-16T13:05:00,2025-10-16T14:39:00,ios,tablet,GB,False
S0000075,U000248,2025-03-26T18:14:00,2025-03-26T19:48:00,web,desktop,GB,True
S0000076,U001720,2025-06-22T23:40:00,2025-06-23T00:34:00,ios,tablet,GB,False
S0000077,U003710,2025-10-08T18:51:00,2025-10-08T19:20:00,web,desktop,GB,False
S0000078,U001260,2025-06-07T13:57:00,2025-06-07T14:23:00,web,desktop,GB,False
S0000079,U002070,2025-05-16T17:41:00,2025-05-16T17:53:00,web,mobile,GB,False
S0000080,U000819,2025-06-25T18:23:00,2025-06-25T18:28:00,ios,mobile,GB,False
S0000081,U003701,2025-03-24T15:04:00,2025-03-24T16:04:00,ctv,streaming_stick,GB,False
S0000082,U001628,2025-09-09T11:01:00,2025-09-09T12:35:00,web,mobile,GB,False
S0000083,U000758,2025-01-26T20:23:00,2025-01-26T21:42:00,ios,mobile,GB,True
S0000084,U003922,2025-10-21T15:53:00,2025-10-21T17:33:00,ctv,streaming_stick,GB,False
S0000085,U001529,2025-10-10T13:22:00,2025-10-10T14:58:00,ios,mobile,GB,False
S0000086,U001508,2025-05-12T12:20:00,2025-05-12T12:42:00,web,mobile,GB,False
S0000087,U001983,2025-06-06T10:49:00,2025-06-06T12:01:00,web,tablet,GB,False
S0000088,U002635,2025-12-06T11:57:00,2025-12-06T12:21:00,android,mobile,GB,False
S0000089,U002636,2025-07-16T13:06:00,2025-07-16T14:34:00,ctv,smart_tv,GB,False
S0000090,U002945,2025-06-09T17:53:00,2025-06-09T19:00:00,ios,mobile,GB,False
S0000091,U000456,2025-02-24T13:48:00,2025-02-24T15:43:00,ctv,smart_tv,GB,False
S0000092,U002956,2025-04-22T08:08:00,2025-04-22T08:48:00,ios,mobile,GB,False
S0000093,U000900,2025-02-27T12:18:00,2025-02-27T13:17:00,web,desktop,GB,False
S0000094,U001260,2025-05-08T15:30:00,2025-05-08T16:39:00,web,mobile,GB,False
S0000095,U002773,2025-06-21T17:39:00,2025-06-21T18:01:00,web,mobile,GB,False
S0000096,U003652,2025-01-13T22:08:00,2025-01-13T23:07:00,ios,tablet,GB,True
S0000097,U001253,2025-11-15T22:30:00,2025-11-15T23:53:00,android,tablet,GB,False
S0000098,U003958,2025-12-23T11:25:00,2025-12-23T12:55:00,ios,tablet,GB,False
S0000099,U002655,2025-02-02T12:00:00,2025-02-02T13:54:00,android,mobile,GB,False
S0000100,U001780,2025-08-20T11:28:00,2025-08-20T13:03:00,android,tablet,GB,False
S0000101,U000892,2025-01-21T15:58:00,2025-01-21T16:16:00,android,mobile,GB,False
S0000102,U001158,2025-12-03T22:22:00,2025-12-03T23:48:00,ios,mobile,GB,False
S0000103,U000187,2025-09-05T19:00:00,2025-09-05T20:38:00,web,desktop,GB,False
S0000104,U000527,2025-10-19T18:15:00,2025-10-19T19:43:00,ctv,streaming_stick,GB,False
S0000105,U000567,2025-02-13T19:14:00,2025-02-13T19:46:00,web,tablet,GB,False
S0000106,U003666,2025-08-09T23:47:00,2025-08-10T01:42:00,ctv,smart_tv,GB,False
S0000107,U002722,2025-07-31T16:02:00,2025-07-31T17:09:00,ios,tablet,GB,False
S0000108,U002473,2025-02-04T19:07:00,2025-02-04T19:59:00,ctv,streaming_stick,GB,False
S0000109,U003698,2025-10-26T08:12:00,2025-10-26T09:20:00,ios,mobile,GB,False
S0000110,U002651,2025-01-06T11:19:00,2025-01-06T11:40:00,ios,tablet,GB,False
S0000111,U003564,2025-06-23T19:34:00,2025-06-23T21:11:00,web,mobile,GB,False
S0000112,U002914,2025-08-17T08:17:00,2025-08-17T09:21:00,ios,mobile,GB,False
S0000113,U002036,2025-09-23T17:22:00,2025-09-23T18:49:00,ios,mobile,GB,False
S0000114,U002569,2025-09-28T13:19:00,2025-09-28T13:59:00,web,mobile,GB,True
S0000115,U000640,2025-09-18T16:10:00,2025-09-18T16:50:00,android,tablet,GB,False
S0000116,U000947,2025-07-27T14:03:00,2025-07-27T14:44:00,ios,mobile,GB,False
S0000117,U003096,2025-03-01T10:33:00,2025-03-01T10:47:00,ios,tablet,GB,False
S0000118,U002155,2025-08-14T17:18:00,2025-08-14T19:08:00,web,mobile,GB,False
S0000119,U001181,2025-09-23T18:23:00,2025-09-23T19:57:00,android,tablet,GB,False
S0000120,U003670,2025-11-25T17:06:00,2025-11-25T18:32:00,web,desktop,GB,False
S0000121,U003290,2025-06-12T14:20:00,2025-06-12T16:14:00,ctv,smart_tv,GB,False
S0000122,U003357,2025-05-22T17:55:00,2025-05-22T19:21:00,web,mobile,GB,False
S0000123,U002712,2025-11-23T19:46:00,2025-11-23T20:49:00,ios,tablet,GB,False
S0000124,U002946,2025-11-25T08:19:00,2025-11-25T09:44:00,web,mobile,GB,False
S0000125,U001382,2025-01-11T09:12:00,2025-01-11T09:30:00,ctv,smart_tv,GB,False
S0000126,U001074,2025-03-30T23:37:00,2025-03-31T00:04:00,web,mobile,GB,False
S0000127,U000752,2025-07-15T15:08:00,2025-07-15T15:46:00,android,tablet,GB,True
S0000128,U001500,2025-06-17T20:06:00,2025-06-17T21:14:00,ios,mobile,GB,False
S0000129,U002600,2025-06-14T11:41:00,2025-06-14T12:37:00,ios,tablet,GB,False
S0000130,U000638,2025-04-21T15:09:00,2025-04-21T16:18:00,android,tablet,GB,False
S0000131,U003204,2025-03-07T08:04:00,2025-03-07T08:09:00,web,desktop,GB,False
S0000132,U003705,2025-08-23T11:21:00,2025-08-23T11:46:00,android,mobile,GB,False
S0000133,U003908,2025-05-23T15:26:00,2025-05-23T15:37:00,android,mobile,GB,False
S0000134,U001849,2025-03-29T14:03:00,2025-03-29T15:21:00,ctv,streaming_stick,GB,False
S0000135,U000659,2025-07-19T18:39:00,2025-07-19T19:08:00,ctv,streaming_stick,GB,False
S0000136,U000243,2025-08-05T18:02:00,2025-08-05T18:57:00,ios,mobile,GB,False
S0000137,U001591,2025-12-11T18:21:00,2025-12-11T19:35:00,ctv,smart_tv,GB,False
S0000138,U001117,2025-04-22T14:37:00,2025-04-22T15:15:00,android,mobile,GB,True
S0000139,U003709,2025-12-13T11:34:00,2025-12-13T12:51:00,android,mobile,GB,False
S0000140,U001655,2025-01-30T22:26:00,2025-01-30T22:49:00,android,tablet,GB,False
S0000141,U000764,2025-03-03T18:53:00,2025-03-03T19:57:00,web,mobile,GB,False
S0000142,U002468,2025-10-23T14:21:00,2025-10-23T15:32:00,ios,mobile,GB,False
S0000143,U000960,2025-12-14T19:17:00,2025-12-14T21:17:00,web,mobile,GB,False
S0000144,U000135,2025-05-27T12:50:00,2025-05-27T14:22:00,ios,mobile,GB,True
S0000145,U001866,2025-03-15T16:16:00,2025-03-15T17:40:00,ios,mobile,GB,False
S0000146,U002448,2025-07-24T15:18:00,2025-07-24T15:44:00,ctv,smart_tv,GB,False
S0000147,U001629,2025-07-20T23:44:00,2025-07-21T01:11:00,web,mobile,GB,False
S0000148,U003550,2025-09-15T19:33:00,2025-09-15T19:45:00,ios,mobile,GB,False
S0000149,U000262,2025-12-01T14:43:00,2025-12-01T16:02:00,android,mobile,GB,False
S0000150,U000852,2025-03-26T10:29:00,2025-03-26T11:37:00,ios,tablet,GB,False
S0000151,U001105,2025-07-23T17:40:00,2025-07-23T18:08:00,ios,mobile,GB,False
S0000152,U002254,2025-10-09T12:02:00,2025-10-09T12:42:00,android,tablet,GB,False
S0000153,U003794,2025-08-03T09:46:00,2025-08-03T11:26:00,ctv,smart_tv,GB,False
S0000154,U002585,2025-10-27T12:42:00,2025-10-27T14:02:00,ios,tablet,GB,False
S0000155,U000229,2025-12-10T14:47:00,2025-12-10T15:41:00,web,mobile,GB,False
S0000156,U003049,2025-08-31T17:04:00,2025-08-31T17:15:00,android,tablet,GB,False
S0000157,U002502,2025-05-15T13:37:00,2025-05-15T15:17:00,ctv,streaming_stick,GB,True
S0000158,U003262,2025-08-27T20:10:00,2025-08-27T21:34:00,ios,tablet,GB,False
S0000159,U001878,2025-06-19T06:20:00,2025-06-19T07:17:00,ctv,smart_tv,GB,False
S0000160,U003408,2025-04-06T23:17:00,2025-04-07T00:12:00,web,mobile,GB,False
S0000161,U003161,2025-01-05T13:48:00,2025-01-05T15:47:00,ios,tablet,GB,False
S0000162,U003574,2025-10-31T07:25:00,2025-10-31T08:10:00,web,tablet,GB,False
S0000163,U002999,2025-12-11T14:38:00,2025-12-11T14:52:00,web,desktop,GB,False
S0000164,U000316,2025-02-28T11:38:00,2025-02-28T13:14:00,android,tablet,GB,False
S0000165,U001861,2025-02-09T14:18:00,2025-02-09T14:40:00,web,tablet,GB,False
S0000166,U000536,2025-06-28T12:16:00,2025-06-28T12:30:00,ctv,smart_tv,GB,False
S0000167,U001354,2025-07-19T09:25:00,2025-07-19T10:17:00,android,tablet,GB,False
S0000168,U000663,2025-07-06T20:57:00,2025-07-06T22:46:00,web,mobile,GB,False
S0000169,U003534,2025-08-10T06:37:00,2025-08-10T07:53:00,ctv,streaming_stick,GB,False
S0000170,U002716,2025-04-10T15:13:00,2025-04-10T16:08:00,ios,mobile,GB,False
S0000171,U000461,2025-07-19T14:25:00,2025-07-19T15:18:00,ios,mobile,GB,False
S0000172,U000097,2025-09-04T16:26:00,2025-09-04T17:13:00,ios,mobile,GB,False
S0000173,U000104,2025-09-06T23:00:00,2025-09-07T00:23:00,web,desktop,GB,False
S0000174,U001676,2025-05-24T15:00:00,2025-05-24T16:24:00,android,mobile,GB,False
S0000175,U000147,2025-08-20T19:16:00,2025-08-20T19:39:00,web,desktop,GB,False
S0000176,U000885,2025-08-19T20:31:00,2025-08-19T22:21:00,android,tablet,GB,False
S0000177,U002371,2025-12-17T14:46:00,2025-12-17T16:21:00,web,desktop,GB,False
S0000178,U001141,2025-05-14T11:52:00,2025-05-14T12:50:00,ctv,streaming_stick,GB,False
S0000179,U000516,2025-07-22T18:55:00,2025-07-22T20:05:00,android,mobile,GB,False
S0000180,U003081,2025-03-31T19:32:00,2025-03-31T19:47:00,ios,tablet,GB,False
S0000181,U002528,2025-11-19T21:26:00,2025-11-19T21:40:00,android,mobile,GB,False
S0000182,U000105,2025-11-04T16:46:00,2025-11-04T16:58:00,android,mobile,GB,False
S0000183,U002560,2025-04-01T15:17:00,2025-04-01T17:01:00,web,mobile,GB,False
S0000184,U003396,2025-07-04T16:08:00,2025-07-04T17:02:00,web,mobile,GB,False
S0000185,U003266,2025-12-30T18:11:00,2025-12-30T18:39:00,web,tablet,GB,False
S0000186,U000418,2025-05-02T10:03:00,2025-05-02T11:47:00,android,tablet,GB,False
S0000187,U002534,2025-04-06T16:58:00,2025-04-06T17:59:00,ctv,smart_tv,GB,False
S0000188,U000396,2025-07-22T14:44:00,2025-07-22T16:28:00,web,tablet,GB,False
S0000189,U001729,2025-03-30T19:18:00,2025-03-30T21:09:00,web,mobile,GB,False
S0000190,U001332,2025-04-13T16:27:00,2025-04-13T18:16:00,ctv,smart_tv,GB,False
S0000191,U003889,2025-08-26T13:09:00,2025-08-26T14:36:00,android,tablet,GB,False
S0000192,U001619,2025-02-03T23:05:00,2025-02-04T00:15:00,android,tablet,GB,False
S0000193,U003738,2025-08-21T11:47:00,2025-08-21T13:05:00,ctv,smart_tv,GB,False
S0000194,U002908,2025-07-24T13:23:00,2025-07-24T15:18:00,web,mobile,GB,True
S0000195,U001683,2025-10-25T18:54:00,2025-10-25T20:04:00,ctv,streaming_stick,GB,False
S0000196,U003710,2025-08-23T21:55:00,2025-08-23T22:53:00,android,tablet,GB,False
S0000197,U001478,2025-11-02T14:52:00,2025-11-02T15:49:00,ios,mobile,GB,False
S0000198,U001663,2025-03-12T11:17:00,2025-03-12T12:01:00,web,desktop,GB,False
S0000199,U002349,2025-12-18T09:18:00,2025-12-18T09:53:00,android,tablet,GB,False
S0000200,U000019,2025-12-15T12:09:00,2025-12-15T12:51:00,android,mobile,GB,False
S0000201,U003489,2025-04-12T10:29:00,2025-04-12T11:34:00,ios,tablet,GB,False
S0000202,U002901,2025-04-03T10:54:00,2025-04-03T11:22:00,ctv,smart_tv,GB,False
S0000203,U000538,2025-10-30T20:12:00,2025-10-30T21:22:00,ctv,smart_tv,GB,False
S0000204,U003001,2025-04-30T12:13:00,2025-04-30T12:31:00,ctv,smart_tv,GB,False
S0000205,U000414,2025-10-30T22:34:00,2025-10-30T23:09:00,web,desktop,GB,False
S0000206,U001340,2025-04-16T12:30:00,2025-04-16T12:47:00,web,tablet,GB,True
S0000207,U001287,2025-02-14T23:20:00,2025-02-15T00:48:00,web,mobile,GB,False
S0000208,U000827,2025-04-26T08:28:00,2025-04-26T08:42:00,ctv,streaming_stick,GB,False
S0000209,U003948,2025-07-14T12:51:00,2025-07-14T13:21:00,android,mobile,GB,False
S0000210,U001070,2025-12-26T14:16:00,2025-12-26T16:11:00,ios,mobile,GB,False
S0000211,U000996,2025-06-15T13:31:00,2025-06-15T15:18:00,ctv,smart_tv,GB,False
S0000212,U002341,2025-01-17T14:34:00,2025-01-17T14:56:00,ctv,smart_tv,GB,False
S0000213,U002642,2025-06-24T19:44:00,2025-06-24T19:54:00,android,tablet,GB,False
S0000214,U002099,2025-08-24T10:35:00,2025-08-24T11:33:00,ctv,streaming_stick,GB,False
S0000215,U002813,2025-08-07T18:23:00,2025-08-07T19:05:00,ctv,smart_tv,GB,False
S0000216,U000801,2025-06-14T12:26:00,2025-06-14T13:14:00,web,mobile,GB,False
S0000217,U000889,2025-02-26T19:26:00,2025-02-26T20:30:00,ctv,streaming_stick,GB,False
S0000218,U003477,2025-02-21T15:00:00,2025-02-21T15:45:00,ios,tablet,GB,False
S0000219,U000928,2025-09-05T18:50:00,2025-09-05T20:23:00,ios,mobile,GB,False
S0000220,U001567,2025-09-13T18:30:00,2025-09-13T18:35:00,ios,mobile,GB,False
S0000221,U003084,2025-05-03T19:11:00,2025-05-03T19:29:00,ctv,streaming_stick,GB,False
S0000222,U002166,2025-01-01T17:24:00,2025-01-01T18:48:00,android,tablet,GB,False
S0000223,U000576,2025-08-17T23:54:00,2025-08-18T00:05:00,ctv,streaming_stick,GB,False
S0000224,U002272,2025-02-03T17:06:00,2025-02-03T18:33:00,ios,mobile,GB,False
S0000225,U001818,2025-06-10T18:59:00,2025-06-10T20:15:00,android,tablet,GB,False
S0000226,U001057,2025-01-08T21:56:00,2025-01-08T22:15:00,ios,tablet,GB,False
S0000227,U000590,2025-05-07T21:28:00,2025-05-07T22:15:00,android,tablet,GB,False
S0000228,U000005,2025-08-11T10:45:00,2025-08-11T11:19:00,ios,mobile,GB,False
S0000229,U003004,2025-01-26T12:55:00,2025-01-26T13:59:00,ctv,streaming_stick,GB,False
S0000230,U001551,2025-06-26T15:52:00,2025-06-26T17:12:00,ios,tablet,GB,False
S0000231,U002384,2025-03-08T14:42:00,2025-03-08T16:23:00,ios,tablet,GB,True
S0000232,U001445,2025-12-13T18:13:00,2025-12-13T19:23:00,ios,tablet,GB,False
S0000233,U001320,2025-04-06T11:13:00,2025-04-06T11:37:00,web,tablet,GB,False
S0000234,U001752,2025-06-08T12:22:00,2025-06-08T13:35:00,ios,mobile,GB,False
S0000235,U002750,2025-11-07T15:49:00,2025-11-07T16:53:00,ios,mobile,GB,False
S0000236,U002099,2025-12-27T19:36:00,2025-12-27T19:59:00,ios,tablet,GB,False
S0000237,U002919,2025-04-27T15:26:00,2025-04-27T15:56:00,android,tablet,GB,False
S0000238,U000724,2025-02-09T15:07:00,2025-02-09T16:55:00,ios,mobile,GB,False
S0000239,U003528,2025-06-25T16:21:00,2025-06-25T17:10:00,web,tablet,GB,False
S0000240,U002481,2025-01-25T14:36:00,2025-01-25T15:47:00,ios,tablet,GB,False
S0000241,U002059,2025-11-07T13:26:00,2025-11-07T14:01:00,android,mobile,GB,False
S0000242,U000251,2025-12-27T11:21:00,2025-12-27T12:07:00,android,tablet,GB,False
S0000243,U001134,2025-04-15T18:49:00,2025-04-15T20:12:00,web,tablet,GB,False
S0000244,U000899,2025-12-27T10:10:00,2025-12-27T10:24:00,web,tablet,GB,False
S0000245,U001270,2025-10-24T14:53:00,2025-10-24T15:47:00,android,mobile,GB,False
S0000246,U003727,2025-09-11T13:19:00,2025-09-11T13:26:00,web,mobile,GB,False
S0000247,U001516,2025-12-21T15:44:00,2025-12-21T16:48:00,web,tablet,GB,False
S0000248,U003237,2025-05-09T22:27:00,2025-05-09T23:20:00,web,mobile,GB,False
S0000249,U003277,2025-08-20T19:42:00,2025-08-20T21:39:00,android,mobile,GB,False
S0000250,U003326,2025-02-09T17:00:00,2025-02-09T18:19:00,android,tablet,GB,True
S0000251,U002884,2025-11-15T20:01:00,2025-11-15T21:08:00,android,mobile,GB,False
S0000252,U003277,2025-07-28T09:46:00,2025-07-28T09:56:00,ctv,streaming_stick,GB,False
S0000253,U002917,2025-01-26T15:36:00,2025-01-26T16:00:00,android,tablet,GB,False
S0000254,U002407,2025-02-15T18:13:00,2025-02-15T19:37:00,web,mobile,GB,True
S0000255,U000735,2025-01-23T08:47:00,2025-01-23T09:03:00,android,tablet,GB,False
S0000256,U001052,2025-04-01T17:03:00,2025-04-01T18:38:00,ctv,streaming_stick,GB,False
S0000257,U001517,2025-09-04T15:44:00,2025-09-04T17:08:00,ios,mobile,GB,True
S0000258,U002512,2025-06-26T15:49:00,2025-06-26T16:31:00,ctv,streaming_stick,GB,False
S0000259,U003803,2025-03-11T20:14:00,2025-03-11T20:44:00,ios,tablet,GB,False
S0000260,U003865,2025-10-13T16:19:00,2025-10-13T18:17:00,web,tablet,GB,False
S0000261,U001698,2025-04-17T18:35:00,2025-04-17T19:05:00,ios,mobile,GB,False
S0000262,U002291,2025-04-17T08:27:00,2025-04-17T10:13:00,web,desktop,GB,True
S0000263,U002711,2025-12-05T20:16:00,2025-12-05T22:03:00,android,tablet,GB,False
S0000264,U000825,2025-05-29T22:07:00,2025-05-29T23:14:00,ios,mobile,GB,False
S0000265,U003029,2025-04-15T13:43:00,2025-04-15T15:11:00,ctv,smart_tv,GB,False
S0000266,U003076,2025-12-27T20:58:00,2025-12-27T22:01:00,android,mobile,GB,False
S0000267,U002948,2025-11-17T20:10:00,2025-11-17T20:26:00,android,mobile,GB,False
S0000268,U002747,2025-12-07T11:10:00,2025-12-07T11:43:00,web,mobile,GB,True
S0000269,U003804,2025-12-12T09:51:00,2025-12-12T11:41:00,ios,mobile,GB,True
S0000270,U003287,2025-03-20T22:15:00,2025-03-20T23:29:00,ctv,smart_tv,GB,False
S0000271,U003635,2025-01-04T19:08:00,2025-01-04T20:55:00,ios,tablet,GB,False
S0000272,U003249,2025-05-03T19:27:00,2025-05-03T20:11:00,ios,tablet,GB,False
S0000273,U000262,2025-06-28T13:49:00,2025-06-28T14:51:00,ctv,smart_tv,GB,False
S0000274,U002144,2025-03-25T13:01:00,2025-03-25T14:30:00,ios,tablet,GB,False
S0000275,U002058,2025-01-30T12:30:00,2025-01-30T13:56:00,android,mobile,GB,False
S0000276,U000309,2025-11-07T08:41:00,2025-11-07T08:49:00,ios,mobile,GB,False
S0000277,U002549,2025-03-12T15:24:00,2025-03-12T16:47:00,android,tablet,GB,False
S0000278,U001393,2025-02-15T07:54:00,2025-02-15T09:30:00,web,tablet,GB,False
S0000279,U000902,2025-04-05T15:20:00,2025-04-05T17:09:00,web,tablet,GB,False
S0000280,U003118,2025-04-02T17:36:00,2025-04-02T18:30:00,ios,mobile,GB,False
S0000281,U002523,2025-05-01T23:23:00,2025-05-02T00:38:00,android,mobile,GB,False
S0000282,U001357,2025-02-07T06:59:00,2025-02-07T07:18:00,android,mobile,GB,False
S0000283,U002865,2025-12-14T13:49:00,2025-12-14T14:33:00,ctv,streaming_stick,GB,False
S0000284,U001270,2025-01-03T15:03:00,2025-01-03T15:54:00,ios,mobile,GB,False
S0000285,U002982,2025-01-08T23:43:00,2025-01-09T00:05:00,android,tablet,GB,False
S0000286,U002960,2025-06-18T17:03:00,2025-06-18T17:25:00,android,tablet,GB,False
S0000287,U001029,2025-10-21T09:13:00,2025-10-21T09:40:00,android,mobile,GB,True
S0000288,U001124,2025-04-28T17:08:00,2025-04-28T18:18:00,web,desktop,GB,False
S0000289,U000225,2025-03-30T16:52:00,2025-03-30T18:43:00,ctv,streaming_stick,GB,False
S0000290,U001464,2025-03-21T15:29:00,2025-03-21T15:41:00,ctv,smart_tv,GB,False
S0000291,U002023,2025-12-02T18:13:00,2025-12-02T19:47:00,android,tablet,GB,True
S0000292,U000741,2025-08-28T14:27:00,2025-08-28T16:18:00,web,desktop,GB,False
S0000293,U002504,2025-09-08T13:10:00,2025-09-08T13:27:00,web,desktop,GB,False
S0000294,U000877,2025-10-15T11:39:00,2025-10-15T12:31:00,ios,tablet,GB,False
S0000295,U003837,2025-02-02T16:10:00,2025-02-02T17:31:00,ios,mobile,GB,False
