impression_id,campaign_id,play_event_id,served_at,programme_id,ad_position,device_type,revenue_gbp
IMP00000083,CAM0053,EV00012812,2025-10-06T15:21:14,P039,pre,desktop,0.0371
IMP00000084,CAM0041,EV00012864,2025-12-02T18:49:02,P054,pre,mobile,0.0448
IMP00000085,CAM0036,EV00015687,2025-11-18T18:42:24,P061,post,mobile,0.0443
IMP00000086,CAM0046,EV00017563,2025-09-26T09:07:05,P019,pre,tablet,0.0231
IMP00000087,CAM0009,EV00001373,2025-08-01T12:43:19,P053,mid,tablet,0.0223
IMP00000088,CAM0055,EV00008111,2025-10-28T22:20:35,P029,mid,smart_tv,0.0273
IMP00000089,CAM0020,EV00014332,2025-07-01T19:02:36,P060,mid,tablet,0.0259
IMP00000090,CAM0009,EV00013725,2025-03-13T21:22:14,P042,mid,mobile,0.0401
IMP00000091,CAM0035,EV00014677,2025-11-02T22:43:06,P038,pre,streaming_stick,0.0398
IMP00000092,CAM0044,EV00005423,2025-10-23T15:19:50,P030,mid,mobile,0.0213
IMP00000093,CAM0026,EV00018941,2025-02-25T06:57:36,P007,post,mobile,0.0247
IMP00000094,CAM0023,EV00010912,2025-02-06T21:16:18,P022,post,tablet,0.0302
IMP00000095,CAM0011,EV00010913,2025-10-28T12:08:06,P029,pre,desktop,0.0446
IMP00000096,CAM0031,EV00013554,2025-09-20T16:42:49,P047,pre,mobile,0.0403
IMP00000097,CAM0012,EV00007034,2025-02-27T20:36:17,P020,mid,tablet,0.0216
IMP00000098,CAM0030,EV00001221,2025-11-28T16:25:00,P015,mid,mobile,0.0207
IMP00000099,CAM0059,EV00001046,2025-04-26T12:09:37,P050,pre,mobile,0.0403
IMP00000100,CAM0022,EV00007882,2025-02-04T08:26:55,P028,mid,tablet,0.0422
IMP00000101,CAM0027,EV00010255,2025-12-19T15:32:49,P047,mid,mobile,0.0443
IMP00000102,CAM0059,EV00002320,2025-12-20T18:24:49,P036,pre,mobile,0.0444
IMP00000103,CAM0058,EV00012621,2025-02-01T14:32:25,P023,pre,tablet,0.0244
IMP00000104,CAM0030,EV00008165,2025-04-08T12:01:53,P031,mid,mobile,0.0425
IMP00000105,CAM0045,EV00016798,2025-01-02T18:12:20,P043,mid,streaming_stick,0.0407
IMP00000106,CAM0033,EV00004470,2025-11-03T15:33:25,P017,mid,mobile,0.0229
IMP00000107,CAM0005,EV00008023,2025-08-22T11:45:43,P020,mid,mobile,0.0373
IMP00000108,CAM0001,EV00001512,2025-10-18T12:41:40,P013,mid,mobile,0.0405
IMP00000109,CAM0016,EV00018947,2025-11-06T16:14:46,P027,pre,tablet,0.0352
IMP00000110,CAM0051,EV00005272,2025-11-09T23:39:21,P051,mid,mobile,0.0365
IMP00000111,CAM0010,EV00013875,2025-05-17T09:03:19,P003,mid,tablet,0.0325
IMP00000112,CAM0044,EV00011719,2025-12-14T16:22:35,P040,mid,mobile,0.0377
IMP00000113,CAM0040,EV00015671,2025-07-12T12:47:39,P022,mid,tablet,0.0231
IMP00000114,CAM0021,EV00006579,2025-01-23T12:32:54,P004,pre,tablet,0.0441
IMP00000115,CAM0010,EV00003356,2025-01-17T17:53:50,P059,pre,mobile,0.0213
IMP00000116,CAM0038,EV00019957,2025-11-08T13:53:36,P012,pre,mobile,0.0417
IMP00000117,CAM0032,EV00014495,2025-08-17T13:55:58,P019,mid,desktop,0.029
IMP00000118,CAM0029,EV00012446,2025-08-09T15:22:22,P034,pre,desktop,0.0282
IMP00000119,CAM0029,EV00015148,2025-09-03T17:28:59,P043,pre,tablet,0.0287
IMP00000120,CAM0012,EV00004716,2025-03-19T15:04:40,P052,mid,streaming_stick,0.0234
IMP00000121,CAM0031,EV00009089,2025-12-15T21:24:02,P053,pre,tablet,0.0386
IMP00000122,CAM0056,EV00017197,2025-10-27T10:19:13,P051,pre,smart_tv,0.0208
IMP00000123,CAM0040,EV00014447,2025-02-03T23:16:56,P023,pre,mobile,0.0281
IMP00000124,CAM0003,EV00002835,2025-06-16T13:31:40,P050,post,tablet,0.0431
IMP00000125,CAM0048,EV00013660,2025-02-14T12:15:18,P058,pre,mobile,0.0272
IMP00000126,CAM0002,EV00020238,2025-06-10T20:12:59,P059,pre,tablet,0.0325
IMP00000127,CAM0039,EV00013163,2025-05-29T22:39:40,P013,mid,mobile,0.0278
IMP00000128,CAM0029,EV00013919,2025-09-05T15:17:21,P026,pre,tablet,0.0306
IMP00000129,CAM0043,EV00015859,2025-04-14T13:15:44,P016,post,tablet,0.0225
IMP00000130,CAM0006,EV00008646,2025-12-17T15:00:19,P029,mid,desktop,0.0344
IMP00000131,CAM0005,EV00011561,2025-08-10T16:06:34,P040,pre,mobile,0.0284
IMP00000132,CAM0049,EV00018760,2025-10-01T16:18:33,P041,mid,tablet,0.0306
IMP00000133,CAM0026,EV00014104,2025-04-28T18:35:47,P035,pre,mobile,0.0206
IMP00000134,CAM0017,EV00017345,2025-04-08T16:10:11,P006,mid,mobile,0.0369
IMP00000135,CAM0057,EV00009512,2025-09-10T06:23:16,P051,mid,tablet,0.0252
IMP00000136,CAM0031,EV00014943,2025-01-22T22:39:30,P053,mid,mobile,0.0368
IMP00000137,CAM0030,EV00016323,2025-09-02T18:02:47,P040,mid,streaming_stick,0.0368
IMP00000138,CAM0045,EV00017146,2025-10-19T22:37:16,P017,pre,streaming_stick,0.0254
IMP00000139,CAM0005,EV00008445,2025-06-27T13:05:34,P013,mid,mobile,0.0258
IMP00000140,CAM0043,EV00019113,2025-01-18T10:50:58,P008,mid,tablet,0.0425
IMP00000141,CAM0002,EV00016211,2025-10-15T18:17:30,P060,pre,tablet,0.0306
IMP00000142,CAM0018,EV00013588,2025-07-16T16:51:16,P036,pre,tablet,0.02
IMP00000143,CAM0057,EV00011717,2025-12-14T15:52:33,P040,pre,mobile,0.0259
IMP00000144,CAM0030,EV00007282,2025-10-05T17:18:33,P011,pre,desktop,0.0335
IMP00000145,CAM0032,EV00005558,2025-12-12T16:07:44,P022,pre,mobile,0.0328
IMP00000146,CAM0030,EV00010522,2025-06-16T06:52:36,P054,pre,mobile,0.0431
IMP00000147,CAM0041,EV00001356,2025-01-23T20:08:41,P018,post,tablet,0.0271
IMP00000148,CAM0032,EV00019303,2025-08-11T15:36:40,P033,post,mobile,0.0436
IMP00000149,CAM0007,EV00017423,2025-04-07T23:58:16,P018,mid,tablet,0.0385
IMP00000150,CAM0018,EV00019993,2025-01-06T13:33:42,P010,pre,tablet,0.0252
IMP00000151,CAM0001,EV00001969,2025-06-27T19:19:49,P028,mid,tablet,0.0339
IMP00000152,CAM0052,EV00008640,2025-03-04T12:08:34,P013,pre,mobile,0.0377
IMP00000153,CAM0025,EV00003854,2025-12-05T08:56:13,P052,mid,tablet,0.02
IMP00000154,CAM0028,EV00009821,2025-02-09T19:20:01,P003,mid,desktop,0.041
IMP00000155,CAM0044,EV00006921,2025-03-11T14:21:48,P011,post,mobile,0.0331
IMP00000156,CAM0052,EV00001010,2025-04-17T15:43:09,P018,mid,mobile,0.0227
IMP00000157,CAM0013,EV00012194,2025-05-23T14:03:27,P059,mid,tablet,0.0403
IMP00000158,CAM0007,EV00007465,2025-08-27T09:25:50,P047,pre,mobile,0.0289
IMP00000159,CAM0057,EV00001989,2025-11-21T19:29:07,P031,pre,tablet,0.0396
IMP00000160,CAM0057,EV00016680,2025-07-07T21:43:08,P036,pre,desktop,0.0236
IMP00000161,CAM0002,EV00014385,2025-08-07T19:19:00,P053,mid,smart_tv,0.0442
IMP00000162,CAM0003,EV00000082,2025-11-20T15:52:47,P058,mid,tablet,0.0346
IMP00000163,CAM0008,EV00008116,2025-12-07T15:59:17,P007,post,tablet,0.0329
IMP00000164,CAM0008,EV00001811,2025-01-24T21:27:10,P004,mid,tablet,0.0269
IMP00000165,CAM0027,EV00009120,2025-01-03T16:00:45,P044,pre,tablet,0.0343
IMP00000166,CAM0051,EV00000409,2025-10-05T13:12:46,P061,pre,mobile,0.0215
IMP00000167,CAM0014,EV00002828,2025-03-29T07:43:49,P001,mid,tablet,0.0385
IMP00000168,CAM0038,EV00014650,2025-07-28T19:56:32,P025,pre,tablet,0.0402
IMP00000169,CAM0047,EV00016816,2025-07-16T21:15:01,P037,pre,tablet,0.0284
IMP00000170,CAM0050,EV00011572,2025-12-28T17:18:39,P001,pre,mobile,0.0297
IMP00000171,CAM0057,EV00002576,2025-04-03T08:33:12,P038,mid,tablet,0.0239
IMP00000172,CAM0005,EV00009064,2025-08-16T23:20:56,P009,pre,tablet,0.0298
IMP00000173,CAM0054,EV00010039,2025-09-10T21:41:41,P049,pre,smart_tv,0.027
IMP00000174,CAM0028,EV00016818,2025-07-16T21:45:01,P037,mid,tablet,0.0439
IMP00000175,CAM0019,EV00013183,2025-04-01T18:10:04,P044,pre,tablet,0.025
IMP00000176,CAM0056,EV00010258,2025-12-18T18:45:24,P052,pre,streaming_stick,0.0207
IMP00000177,CAM0058,EV00002496,2025-02-09T00:22:23,P036,post,streaming_stick,0.0424
IMP00000178,CAM0016,EV00006764,2025-11-17T00:10:04,P032,post,tablet,0.0347
IMP00000179,CAM0013,EV00013528,2025-05-04T17:42:11,P026,pre,desktop,0.0395
IMP00000180,CAM0053,EV00004709,2025-08-21T17:00:02,P033,pre,tablet,0.0256
IMP00000181,CAM0053,EV00003816,2025-05-22T17:12:31,P054,pre,tablet,0.0292
IMP00000182,CAM0043,EV00000894,2025-04-27T13:02:09,P036,mid,tablet,0.0223
IMP00000183,CAM0029,EV00016557,2025-02-21T18:52:54,P003,mid,streaming_stick,0.0338
IMP00000184,CAM0015,EV00018245,2025-12-19T20:03:16,P014,pre,tablet,0.0446
IMP00000185,CAM0045,EV00019047,2025-05-25T15:17:08,P053,pre,tablet,0.0259
IMP00000186,CAM0049,EV00003715,2025-01-20T17:09:35,P049,pre,tablet,0.0437
IMP00000187,CAM0021,EV00008272,2025-01-26T12:55:25,P042,pre,streaming_stick,0.0249
IMP00000188,CAM0052,EV00002883,2025-05-09T12:19:52,P009,mid,tablet,0.0276
IMP00000189,CAM0023,EV00014714,2025-10-28T12:09:53,P060,pre,desktop,0.0311
IMP00000190,CAM0006,EV00000232,2025-06-15T20:30:04,P056,pre,mobile,0.027
IMP00000191,CAM0040,EV00009325,2025-03-20T13:12:50,P026,mid,tablet,0.0342
IMP00000192,CAM0054,EV00015035,2025-11-19T17:40:52,P055,pre,mobile,0.043
IMP00000193,CAM0042,EV00010064,2025-11-21T12:29:44,P061,mid,mobile,0.0246
IMP00000194,CAM0049,EV00008170,2025-01-28T11:22:10,P053,mid,smart_tv,0.0447
IMP00000195,CAM0024,EV00001851,2025-10-14T12:38:28,P053,mid,tablet,0.0435
IMP00000196,CAM0009,EV00002174,2025-12-20T19:15:41,P002,mid,mobile,0.0213
IMP00000197,CAM0044,EV00013195,2025-11-11T09:30:11,P062,pre,smart_tv,0.0372
IMP00000198,CAM0042,EV00000728,2025-11-18T21:58:56,P006,pre,mobile,0.0296
IMP00000199,CAM0046,EV00004465,2025-01-30T13:20:48,P031,mid,tablet,0.0393
IMP00000200,CAM0008,EV00007524,2025-01-01T17:24:31,P021,pre,mobile,0.0282
IMP00000201,CAM0005,EV00010447,2025-12-23T11:27:04,P037,pre,mobile,0.0203
IMP00000202,CAM0056,EV00019822,2025-05-29T10:19:04,P043,mid,smart_tv,0.0359
IMP00000203,CAM0056,EV00008754,2025-04-24T19:19:16,P008,mid,tablet,0.0293
IMP00000204,CAM0018,EV00007372,2025-07-11T14:24:36,P022,mid,tablet,0.028
IMP00000205,CAM0022,EV00002134,2025-05-19T00:49:07,P032,mid,tablet,0.043
IMP00000206,CAM0035,EV00004385,2025-06-09T09:57:06,P046,mid,tablet,0.0313
IMP00000207,CAM0038,EV00010663,2025-05-21T21:48:01,P007,pre,tablet,0.0327
IMP00000208,CAM0038,EV00005909,2025-08-19T16:14:27,P009,mid,tablet,0.0343
IMP00000209,CAM0013,EV00015636,2025-06-22T23:40:40,P060,pre,mobile,0.0347
IMP00000210,CAM0043,EV00017859,2025-07-03T16:19:06,P057,post,streaming_stick,0.0211
IMP00000211,CAM0030,EV00007224,2025-05-30T22:18:15,P037,mid,tablet,0.0236
IMP00000212,CAM0040,EV00019606,2025-09-24T12:42:51,P005,pre,mobile,0.0215
IMP00000213,CAM0045,EV00001612,2025-12-01T18:42:15,P023,mid,tablet,0.0272
IMP00000214,CAM0014,EV00011424,2025-11-09T18:42:28,P019,pre,mobile,0.0393
IMP00000215,CAM0012,EV00012004,2025-05-29T14:15:21,P054,pre,tablet,0.0426
IMP00000216,CAM0001,EV00019719,2025-08-07T18:03:50,P044,mid,tablet,0.0307
IMP00000217,CAM0006,EV00006467,2025-04-26T06:51:23,P033,pre,mobile,0.0305
IMP00000218,CAM0016,EV00013115,2025-09-08T10:46:57,P049,pre,mobile,0.0312
IMP00000219,CAM0014,EV00006427,2025-01-13T17:55:42,P052,mid,tablet,0.0442
IMP00000220,CAM0029,EV00019563,2025-01-21T19:37:50,P032,pre,mobile,0.025
IMP00000221,CAM0052,EV00016288,2025-03-16T23:16:57,P055,mid,desktop,0.0336
IMP00000222,CAM0016,EV00005870,2025-04-20T16:37:05,P005,pre,mobile,0.0322
IMP00000223,CAM0059,EV00005940,2025-03-21T14:52:06,P003,pre,tablet,0.0411
IMP00000224,CAM0053,EV00000637,2025-07-05T21:45:54,P051,pre,mobile,0.02
IMP00000225,CAM0050,EV00014184,2025-09-12T15:49:34,P053,pre,smart_tv,0.0349
IMP00000226,CAM0012,EV00012162,2025-02-12T15:22:19,P035,mid,tablet,0.0228
IMP00000227,CAM0041,EV00005898,2025-01-15T16:58:31,P001,pre,tablet,0.0212
IMP00000228,CAM0056,EV00012263,2025-10-05T15:52:24,P043,pre,tablet,0.0364
IMP00000229,CAM0038,EV00000317,2025-10-20T17:45:14,P041,mid,mobile,0.0421
IMP00000230,CAM0034,EV00016572,2025-11-16T18:04:52,P012,mid,tablet,0.0231
IMP00000231,CAM0038,EV00007440,2025-08-19T10:35:41,P058,pre,smart_tv,0.0343
IMP00000232,CAM0052,EV00006561,2025-08-01T18:21:31,P041,pre,tablet,0.0234
IMP00000233,CAM0016,EV00010333,2025-03-08T14:22:01,P026,mid,mobile,0.0392
IMP00000234,CAM0022,EV00012285,2025-08-12T12:15:12,P055,pre,tablet,0.0399
IMP00000235,CAM0022,EV00010437,2025-08-03T10:02:52,P033,pre,tablet,0.0234
IMP00000236,CAM0009,EV00009412,2025-10-11T09:31:00,P001,pre,mobile,0.033
IMP00000237,CAM0028,EV00019214,2025-12-12T13:10:29,P017,pre,mobile,0.0271
IMP00000238,CAM0044,EV00013147,2025-04-06T15:52:50,P051,pre,tablet,0.0205
IMP00000239,CAM0051,EV00002339,2025-06-22T22:38:43,P046,pre,desktop,0.0262
IMP00000240,CAM0054,EV00012421,2025-07-17T10:48:48,P041,mid,tablet,0.043
IMP00000241,CAM0009,EV00013520,2025-10-18T08:25:28,P051,pre,smart_tv,0.0269
IMP00000242,CAM0059,EV00005922,2025-12-30T09:07:46,P055,pre,mobile,0.0272
IMP00000243,CAM0028,EV00009476,2025-10-07T14:26:04,P023,mid,smart_tv,0.0337
IMP00000244,CAM0058,EV00015072,2025-03-06T11:18:30,P050,mid,mobile,0.0421
IMP00000245,CAM0023,EV00011982,2025-04-27T19:00:23,P016,pre,mobile,0.0202
IMP00000246,CAM0044,EV00007834,2025-06-02T07:32:46,P016,pre,tablet,0.0336
IMP00000247,CAM0025,EV00019887,2025-10-06T13:24:06,P010,pre,mobile,0.0321
IMP00000248,CAM0049,EV00019436,2025-01-07T14:47:16,P042,pre,tablet,0.0414
IMP00000249,CAM0003,EV00017281,2025-02-04T13:41:50,P048,pre,mobile,0.0242
IMP00000250,CAM0053,EV00001641,2025-06-11T21:30:49,P042,pre,tablet,0.027
IMP00000251,CAM0016,EV00001175,2025-04-22T17:44:23,P021,mid,tablet,0.029
IMP00000252,CAM0022,EV00007515,2025-11-07T18:01:48,P061,mid,tablet,0.0219
IMP00000253,CAM0036,EV00002051,2025-04-11T12:59:08,P031,pre,mobile,0.0232
IMP00000254,CAM0044,EV00011474,2025-12-12T23:08:57,P039,mid,mobile,0.0306
IMP00000255,CAM0057,EV00004191,2025-06-07T18:42:35,P042,pre,tablet,0.0398
IMP00000256,CAM0026,EV00010669,2025-03-17T15:51:42,P036,pre,tablet,0.0437
IMP00000257,CAM0010,EV00010092,2025-12-16T20:00:55,P034,pre,mobile,0.0214
IMP00000258,CAM0013,EV00016038,2025-12-25T22:29:31,P017,pre,mobile,0.0278
IMP00000259,CAM0032,EV00008985,2025-04-28T18:34:21,P007,pre,mobile,0.0448
IMP00000260,CAM0032,EV00014383,2025-08-07T18:33:59,P053,pre,smart_tv,0.0332
IMP00000261,CAM0049,EV00006430,2025-06-07T09:22:28,P018,pre,mobile,0.0332
IMP00000262,CAM0054,EV00018747,2025-08-30T13:49:58,P010,pre,streaming_stick,0.0362
IMP00000263,CAM0039,EV00015008,2025-09-05T15:42:15,P060,mid,tablet,0.0379
IMP00000264,CAM0032,EV00006469,2025-12-25T19:05:55,P020,pre,tablet,0.0251
IMP00000265,CAM0035,EV00017805,2025-01-27T16:20:37,P001,pre,smart_tv,0.0408
IMP00000266,CAM0046,EV00014961,2025-12-07T12:13:15,P041,mid,mobile,0.0242
IMP00000267,CAM0027,EV00015758,2025-07-11T23:03:08,P032,mid,mobile,0.041
IMP00000268,CAM0009,EV00018986,2025-11-25T00:00:01,P038,pre,smart_tv,0.038
IMP00000269,CAM0029,EV00012595,2025-11-12T16:46:33,P020,post,tablet,0.0445
IMP00000270,CAM0037,EV00008831,2025-03-21T15:04:44,P006,mid,tablet,0.0294
IMP00000271,CAM0021,EV00007296,2025-09-25T17:19:44,P007,pre,mobile,0.0331
IMP00000272,CAM0032,EV00008076,2025-04-23T18:21:38,P027,mid,desktop,0.0376
IMP00000273,CAM0057,EV00015862,2025-12-09T19:06:27,P014,mid,smart_tv,0.0433
IMP00000274,CAM0048,EV00018298,2025-01-02T21:50:25,P042,mid,tablet,0.0229
IMP00000275,CAM0024,EV00011588,2025-07-30T09:43:56,P042,pre,mobile,0.0296
IMP00000276,CAM0047,EV00010231,2025-03-11T23:23:18,P047,pre,smart_tv,0.0268
IMP00000277,CAM0047,EV00018106,2025-08-25T15:00:06,P027,mid,streaming_stick,0.0385
IMP00000278,CAM0016,EV00016421,2025-10-11T09:48:43,P047,pre,mobile,0.0301
IMP00000279,CAM0011,EV00004090,2025-02-05T08:16:26,P006,pre,streaming_stick,0.0351
IMP00000280,CAM0005,EV00009400,2025-12-19T15:34:56,P012,post,mobile,0.0441
IMP00000281,CAM0013,EV00002949,2025-12-11T23:36:13,P027,pre,mobile,0.0219
IMP00000282,CAM0053,EV00014376,2025-01-23T09:20:27,P015,mid,tablet,0.0339
IMP00000283,CAM0055,EV00000153,2025-03-15T10:47:55,P057,pre,tablet,0.0255
IMP00000284,CAM0050,EV00004052,2025-01-28T18:28:56,P029,pre,smart_tv,0.0407
IMP00000285,CAM0030,EV00016992,2025-07-21T18:29:17,P021,mid,mobile,0.0277
IMP00000286,CAM0016,EV00001422,2025-01-07T17:34:49,P053,mid,smart_tv,0.0203
IMP00000287,CAM0032,EV00002108,2025-04-18T20:37:16,P048,mid,tablet,0.0357
IMP00000288,CAM0018,EV00018888,2025-04-21T11:06:59,P020,mid,smart_tv,0.0341
IMP00000289,CAM0041,EV00018675,2025-08-13T18:17:04,P043,post,tablet,0.0245
IMP00000290,CAM0044,EV00012588,2025-09-04T17:56:10,P027,mid,tablet,0.0257
IMP00000291,CAM0045,EV00000006,2025-12-08T19:25:41,P059,pre,tablet,0.0384
IMP00000292,CAM0006,EV00014743,2025-11-17T19:15:08,P061,mid,tablet,0.0209
IMP00000293,CAM0014,EV00008045,2025-09-06T14:32:09,P024,mid,mobile,0.0201
IMP00000294,CAM0001,EV00017078,2025-11-13T09:47:27,P041,post,mobile,0.0438
