spot_id,campaign_id,broadcast_date,airing_time,channel_id,daypart,duration_sec,booked_impressions_thousands,delivered_impressions_thousands,rate_card_cpm_gbp,actual_revenue_gbp
LSP000063,CAM0025,2025-04-11,2025-04-11T10:47:00,EXTRA,daytime,30,654.25,654.23,11.97,7.83
LSP000064,CAM0055,2025-11-19,2025-11-19T20:46:00,FACTUAL,peak,60,414.97,426.87,22.62,9.66
LSP000065,CAM0007,2025-12-20,2025-12-20T12:13:00,FACTUAL,daytime,30,679.23,692.52,7.56,5.24
LSP000066,CAM0024,2025-10-14,2025-10-14T20:51:00,FACTUAL,peak,30,64.88,66.79,34.52,2.31
LSP000067,CAM0013,2025-10-23,2025-10-23T20:41:00,CATCHUP,peak,20,784.53,773.55,28.64,22.15
LSP000068,CAM0050,2025-08-17,2025-08-17T23:24:00,CATCHUP,post-peak,30,397.81,409.53,19.12,7.83
LSP000069,CAM0022,2025-08-04,2025-08-04T20:36:00,MOVIES,peak,60,730.3,721.16,26.08,18.81
LSP000070,CAM0042,2025-05-30,2025-05-30T21:38:00,MOVIES,peak,30,715.77,740.89,31.72,23.5
LSP000071,CAM0034,2025-08-19,2025-08-19T18:11:00,MAIN,pre-peak,20,595.83,616.82,25.01,15.43
LSP000072,CAM0006,2025-04-18,2025-04-18T12:06:00,MAIN,daytime,10,752.6,725.74,10.63,7.71
LSP000073,CAM0034,2025-02-12,2025-02-12T10:39:00,EXTRA,daytime,10,541.12,532.87,7.48,3.99
LSP000074,CAM0019,2025-08-15,2025-08-15T20:08:00,CATCHUP,peak,60,177.96,139.81,33.9,4.74
LSP000075,CAM0056,2025-09-01,2025-09-01T18:55:00,CATCHUP,pre-peak,30,461.41,477.96,23.39,11.18
LSP000076,CAM0038,2025-11-02,2025-11-02T18:47:00,CATCHUP,pre-peak,30,442.59,435.85,21.47,9.36
LSP000077,CAM0035,2025-04-27,2025-04-27T21:28:00,FACTUAL,peak,30,359.15,345.09,28.8,9.94
LSP000078,CAM0049,2025-03-11,2025-03-11T16:30:00,CATCHUP,daytime,10,565.83,577.39,7.8,4.5
LSP000079,CAM0050,2025-08-09,2025-08-09T21:38:00,EXTRA,peak,60,55.41,55.02,29.29,1.61
LSP000080,CAM0026,2025-05-08,2025-05-08T12:47:00,MOVIES,daytime,60,333.77,331.69,7.44,2.47
LSP000081,CAM0049,2025-11-10,2025-11-10T21:43:00,FACTUAL,peak,30,536.34,526.42,24.44,12.87
LSP000082,CAM0005,2025-04-04,2025-04-04T10:07:00,MOVIES,daytime,30,389.58,389.33,7.92,3.08
LSP000083,CAM0010,2025-01-26,2025-01-26T23:01:00,EXTRA,post-peak,10,261.59,260.3,14.07,3.66
LSP000084,CAM0006,2025-03-19,2025-03-19T07:13:00,FACTUAL,breakfast,30,283.68,294.98,11.25,3.32
LSP000085,CAM0051,2025-01-17,2025-01-17T16:53:00,EXTRA,daytime,10,249.88,250.74,7.09,1.78
LSP000086,CAM0058,2025-05-09,2025-05-09T21:53:00,MAIN,peak,10,780.95,773.75,34.67,26.83
LSP000087,CAM0016,2025-01-18,2025-01-18T12:47:00,MAIN,daytime,30,549.51,544.64,11.77,6.41
LSP000088,CAM0021,2025-03-23,2025-03-23T20:02:00,CATCHUP,peak,30,141.61,139.33,26.69,3.72
LSP000089,CAM0004,2025-12-08,2025-12-08T12:07:00,EXTRA,daytime,40,375.62,334.55,9.51,3.18
LSP000090,CAM0026,2025-05-05,2025-05-05T07:02:00,CATCHUP,breakfast,60,568.06,552.38,13.4,7.4
LSP000091,CAM0016,2025-03-22,2025-03-22T20:43:00,CATCHUP,peak,30,748.14,755.63,22.78,17.21
LSP000092,CAM0042,2025-03-20,2025-03-20T21:50:00,MAIN,peak,20,415.88,417.82,30.38,12.69
LSP000093,CAM0023,2025-08-13,2025-08-13T21:01:00,MOVIES,peak,30,593.3,571.44,31.19,17.82
LSP000094,CAM0036,2025-05-31,2025-05-31T20:31:00,EXTRA,peak,30,189.97,193.5,25.58,4.95
LSP000095,CAM0054,2025-11-03,2025-11-03T23:35:00,EXTRA,post-peak,10,448.35,459.81,18.33,8.43
LSP000096,CAM0030,2025-01-01,2025-01-01T21:32:00,MOVIES,peak,40,189.15,171.3,32.09,5.5
LSP000097,CAM0016,2025-06-14,2025-06-14T21:42:00,CATCHUP,peak,60,340.62,340.55,29.17,9.93
LSP000098,CAM0040,2025-05-25,2025-05-25T16:41:00,FACTUAL,daytime,10,122.19,117.73,11.63,1.37
LSP000099,CAM0012,2025-01-17,2025-01-17T12:31:00,EXTRA,daytime,10,73.86,73.2,8.94,0.65
LSP000100,CAM0040,2025-12-26,2025-12-26T20:03:00,FACTUAL,peak,20,504.47,521.83,24.71,12.89
LSP000101,CAM0032,2025-02-10,2025-02-10T18:40:00,MAIN,pre-peak,30,468.51,465.36,21.69,10.09
LSP000102,CAM0046,2025-01-30,2025-01-30T21:17:00,CATCHUP,peak,10,600.73,580.45,24.81,14.4
LSP000103,CAM0034,2025-02-19,2025-02-19T10:14:00,CATCHUP,daytime,30,192.1,188.24,9.75,1.84
LSP000104,CAM0012,2025-10-13,2025-10-13T21:26:00,MAIN,peak,60,528.97,527.22,30.65,16.16
LSP000105,CAM0057,2025-02-23,2025-02-23T12:11:00,CATCHUP,daytime,30,428.52,429.68,9.6,4.12
LSP000106,CAM0023,2025-06-11,2025-06-11T20:20:00,FACTUAL,peak,30,623.14,634.4,29.91,18.97
LSP000107,CAM0037,2025-10-07,2025-10-07T12:49:00,CATCHUP,daytime,40,240.57,239.56,8.38,2.01
LSP000108,CAM0047,2025-01-18,2025-01-18T23:38:00,MAIN,post-peak,30,151.31,145.34,21.88,3.18
LSP000109,CAM0014,2025-06-11,2025-06-11T07:52:00,FACTUAL,breakfast,30,433.45,435.93,8.66,3.78
LSP000110,CAM0030,2025-07-02,2025-07-02T12:16:00,FACTUAL,daytime,30,237.39,233.6,9.42,2.2
LSP000111,CAM0037,2025-04-22,2025-04-22T21:46:00,FACTUAL,peak,60,411.9,425.05,31.14,13.24
LSP000112,CAM0053,2025-02-18,2025-02-18T20:19:00,MAIN,peak,40,656.26,670.97,33.98,22.8
LSP000113,CAM0022,2025-06-28,2025-06-28T21:27:00,MOVIES,peak,60,140.41,143.19,33.04,4.73
LSP000114,CAM0001,2025-11-21,2025-11-21T21:24:00,MAIN,peak,30,443.29,445.59,26.25,11.7
LSP000115,CAM0045,2025-04-24,2025-04-24T12:43:00,MOVIES,daytime,30,614.63,594.47,8.59,5.11
LSP000116,CAM0051,2025-07-21,2025-07-21T10:21:00,MAIN,daytime,30,478.58,380.86,6.51,2.48
LSP000117,CAM0033,2025-08-11,2025-08-11T21:08:00,EXTRA,peak,30,469.47,475.19,24.55,11.67
LSP000118,CAM0040,2025-09-26,2025-09-26T14:04:00,FACTUAL,daytime,60,372.55,374.82,6.68,2.5
LSP000119,CAM0027,2025-08-05,2025-08-05T18:12:00,FACTUAL,pre-peak,30,495.41,383.03,27.88,10.68
LSP000120,CAM0040,2025-08-15,2025-08-15T20:28:00,MAIN,peak,60,225.12,218.92,31.47,6.89
LSP000121,CAM0006,2025-02-27,2025-02-27T21:15:00,CATCHUP,peak,20,701.56,674.27,31.02,20.92
LSP000122,CAM0008,2025-06-06,2025-06-06T18:01:00,FACTUAL,pre-peak,20,605.01,607.26,25.5,15.49
LSP000123,CAM0036,2025-09-05,2025-09-05T20:09:00,MAIN,peak,30,487.25,469.45,24.21,11.37
LSP000124,CAM0019,2025-04-13,2025-04-13T21:39:00,FACTUAL,peak,10,398.72,384.9,30.58,11.77
LSP000125,CAM0043,2025-12-04,2025-12-04T16:06:00,MAIN,daytime,30,700.56,685.49,8.28,5.68
LSP000126,CAM0046,2025-02-20,2025-02-20T23:31:00,CATCHUP,post-peak,30,116.02,120.35,18.49,2.23
LSP000127,CAM0046,2025-01-12,2025-01-12T07:59:00,CATCHUP,breakfast,30,300.18,291.94,10.43,3.04
LSP000128,CAM0023,2025-07-01,2025-07-01T20:15:00,CATCHUP,peak,30,658.92,678.88,33.58,22.8
LSP000129,CAM0053,2025-01-16,2025-01-16T23:17:00,EXTRA,post-peak,20,306.34,297.45,19.84,5.9
LSP000130,CAM0034,2025-12-14,2025-12-14T20:40:00,EXTRA,peak,30,230.27,238.94,33.83,8.08
LSP000131,CAM0022,2025-08-18,2025-08-18T20:13:00,EXTRA,peak,30,456.02,469.25,26.02,12.21
LSP000132,CAM0046,2025-09-26,2025-09-26T23:27:00,EXTRA,post-peak,40,749.77,738.82,18.46,13.64
LSP000133,CAM0047,2025-03-02,2025-03-02T12:53:00,EXTRA,daytime,40,72.11,74.84,11.77,0.88
LSP000134,CAM0020,2025-08-15,2025-08-15T21:52:00,FACTUAL,peak,20,634.33,618.33,31.91,19.73
LSP000135,CAM0040,2025-11-12,2025-11-12T14:36:00,CATCHUP,daytime,20,497.27,478.42,6.48,3.1
LSP000136,CAM0050,2025-09-02,2025-09-02T10:54:00,CATCHUP,daytime,30,584.01,600.46,8.95,5.37
LSP000137,CAM0009,2025-03-25,2025-03-25T12:02:00,MOVIES,daytime,60,776.61,804.58,7.34,5.91
LSP000138,CAM0043,2025-04-14,2025-04-14T21:04:00,EXTRA,peak,30,700.35,690.54,27.95,19.3
LSP000139,CAM0016,2025-08-07,2025-08-07T18:02:00,CATCHUP,pre-peak,40,668.25,662.59,27.39,18.15
LSP000140,CAM0037,2025-11-01,2025-11-01T20:41:00,MAIN,peak,30,131.99,135.98,33.41,4.54
LSP000141,CAM0016,2025-09-23,2025-09-23T20:47:00,MAIN,peak,30,340.55,353.15,24.47,8.64
LSP000142,CAM0029,2025-07-23,2025-07-23T21:49:00,FACTUAL,peak,30,174.86,180.72,30.97,5.6
LSP000143,CAM0058,2025-03-14,2025-03-14T18:41:00,MOVIES,pre-peak,10,591.99,605.19,27.38,16.57
LSP000144,CAM0045,2025-10-07,2025-10-07T10:26:00,FACTUAL,daytime,30,68.68,70.86,11.37,0.81
LSP000145,CAM0057,2025-08-21,2025-08-21T10:20:00,EXTRA,daytime,40,599.95,609.85,9.8,5.98
LSP000146,CAM0006,2025-09-26,2025-09-26T21:46:00,CATCHUP,peak,30,762.32,755.04,31.99,24.15
LSP000147,CAM0059,2025-06-21,2025-06-21T20:42:00,EXTRA,peak,20,701.61,713.51,27.45,19.59
LSP000148,CAM0020,2025-08-17,2025-08-17T14:11:00,MAIN,daytime,20,770.33,680.74,6.07,4.13
LSP000149,CAM0032,2025-09-13,2025-09-13T20:00:00,CATCHUP,peak,30,228.41,227.97,27.33,6.23
LSP000150,CAM0006,2025-11-04,2025-11-04T20:15:00,CATCHUP,peak,30,514.82,528.22,22.64,11.96
LSP000151,CAM0010,2025-01-29,2025-01-29T20:02:00,EXTRA,peak,60,74.32,74.93,26.3,1.97
LSP000152,CAM0006,2025-01-26,2025-01-26T10:11:00,EXTRA,daytime,40,263.29,267.5,9.43,2.52
LSP000153,CAM0036,2025-04-01,2025-04-01T23:47:00,CATCHUP,post-peak,30,748.61,736.59,16.95,12.49
LSP000154,CAM0025,2025-02-04,2025-02-04T21:53:00,CATCHUP,peak,10,269.62,273.82,25.57,7.0
LSP000155,CAM0034,2025-07-31,2025-07-31T20:44:00,EXTRA,peak,30,93.64,97.23,28.88,2.81
LSP000156,CAM0006,2025-09-05,2025-09-05T21:38:00,FACTUAL,peak,30,506.63,507.66,34.94,17.74
LSP000157,CAM0023,2025-03-08,2025-03-08T20:31:00,CATCHUP,peak,40,523.89,510.47,29.92,15.27
LSP000158,CAM0046,2025-05-29,2025-05-29T23:00:00,MAIN,post-peak,10,398.66,406.23,15.66,6.36
LSP000159,CAM0040,2025-08-01,2025-08-01T18:21:00,FACTUAL,pre-peak,30,654.53,661.89,24.9,16.48
LSP000160,CAM0017,2025-02-04,2025-02-04T16:32:00,CATCHUP,daytime,30,625.27,616.93,8.38,5.17
LSP000161,CAM0037,2025-11-12,2025-11-12T23:53:00,EXTRA,post-peak,20,297.89,302.0,21.33,6.44
LSP000162,CAM0052,2025-01-19,2025-01-19T20:30:00,EXTRA,peak,40,395.46,407.99,28.01,11.43
LSP000163,CAM0053,2025-07-31,2025-07-31T23:03:00,CATCHUP,post-peak,30,473.71,475.8,14.15,6.73
LSP000164,CAM0037,2025-12-17,2025-12-17T16:58:00,FACTUAL,daytime,10,777.21,748.06,11.9,8.9
LSP000165,CAM0041,2025-10-01,2025-10-01T21:36:00,CATCHUP,peak,30,190.53,194.83,26.01,5.07
LSP000166,CAM0055,2025-06-11,2025-06-11T21:17:00,MOVIES,peak,10,422.79,421.16,34.36,14.47
LSP000167,CAM0014,2025-09-26,2025-09-26T16:07:00,FACTUAL,daytime,60,78.05,75.51,9.04,0.68
LSP000168,CAM0052,2025-09-05,2025-09-05T23:09:00,EXTRA,post-peak,30,742.73,744.13,20.2,15.03
LSP000169,CAM0010,2025-02-20,2025-02-20T21:33:00,EXTRA,peak,20,593.43,603.57,28.79,17.38
LSP000170,CAM0001,2025-06-09,2025-06-09T23:43:00,CATCHUP,post-peak,60,115.31,111.12,18.16,2.02
LSP000171,CAM0043,2025-06-09,2025-06-09T07:48:00,FACTUAL,breakfast,40,719.1,701.41,9.94,6.97
LSP000172,CAM0021,2025-08-14,2025-08-14T20:17:00,EXTRA,peak,20,255.23,216.82,28.68,6.22
LSP000173,CAM0014,2025-10-05,2025-10-05T16:20:00,FACTUAL,daytime,20,757.46,761.95,7.03,5.36
LSP000174,CAM0020,2025-11-10,2025-11-10T23:34:00,MOVIES,post-peak,10,147.56,149.63,14.85,2.22
LSP000175,CAM0004,2025-02-14,2025-02-14T18:11:00,CATCHUP,pre-peak,30,522.1,519.84,21.56,11.21
LSP000176,CAM0022,2025-04-12,2025-04-12T21:42:00,CATCHUP,peak,10,780.26,778.12,23.71,18.45
LSP000177,CAM0053,2025-12-24,2025-12-24T18:29:00,FACTUAL,pre-peak,40,533.31,532.05,27.47,14.62
LSP000178,CAM0010,2025-11-12,2025-11-12T14:23:00,MOVIES,daytime,20,574.71,587.99,11.29,6.64
LSP000179,CAM0030,2025-09-07,2025-09-07T07:30:00,MAIN,breakfast,30,408.99,401.87,10.44,4.2
LSP000180,CAM0037,2025-03-07,2025-03-07T20:25:00,MAIN,peak,30,467.11,459.72,27.99,12.87
LSP000181,CAM0038,2025-07-31,2025-07-31T14:15:00,CATCHUP,daytime,20,780.42,770.48,10.88,8.38
LSP000182,CAM0038,2025-08-09,2025-08-09T21:27:00,CATCHUP,peak,60,306.65,298.63,30.7,9.17
LSP000183,CAM0048,2025-12-31,2025-12-31T20:31:00,MAIN,peak,30,497.06,481.06,27.79,13.37
LSP000184,CAM0020,2025-07-27,2025-07-27T08:06:00,CATCHUP,breakfast,60,664.9,672.61,8.43,5.67
LSP000185,CAM0014,2025-03-13,2025-03-13T21:57:00,MAIN,peak,60,160.04,160.44,27.07,4.34
LSP000186,CAM0037,2025-08-17,2025-08-17T12:43:00,FACTUAL,daytime,30,477.71,470.24,11.66,5.48
LSP000187,CAM0028,2025-06-26,2025-06-26T23:37:00,MAIN,post-peak,30,789.82,766.29,16.35,12.53
LSP000188,CAM0024,2025-10-09,2025-10-09T23:00:00,CATCHUP,post-peak,60,784.02,770.36,14.25,10.98
LSP000189,CAM0028,2025-12-26,2025-12-26T20:40:00,FACTUAL,peak,40,337.09,338.31,30.61,10.36
LSP000190,CAM0031,2025-03-13,2025-03-13T12:24:00,FACTUAL,daytime,60,362.93,373.75,6.75,2.52
LSP000191,CAM0001,2025-02-06,2025-02-06T20:09:00,MOVIES,peak,40,377.55,365.01,30.35,11.08
LSP000192,CAM0027,2025-08-22,2025-08-22T23:44:00,CATCHUP,post-peak,30,517.44,514.3,20.56,10.57
LSP000193,CAM0025,2025-07-01,2025-07-01T14:27:00,CATCHUP,daytime,10,483.45,473.27,9.01,4.26
LSP000194,CAM0027,2025-10-07,2025-10-07T20:02:00,MAIN,peak,30,412.45,415.1,34.5,14.32
LSP000195,CAM0006,2025-03-14,2025-03-14T21:33:00,FACTUAL,peak,30,437.71,441.56,25.19,11.12
LSP000196,CAM0041,2025-12-06,2025-12-06T23:04:00,CATCHUP,post-peak,60,484.72,500.37,18.28,9.15
LSP000197,CAM0001,2025-08-29,2025-08-29T18:57:00,MOVIES,pre-peak,30,600.36,622.48,25.98,16.17
LSP000198,CAM0019,2025-03-27,2025-03-27T07:59:00,CATCHUP,breakfast,40,278.05,272.72,12.41,3.38
LSP000199,CAM0038,2025-03-28,2025-03-28T20:42:00,FACTUAL,peak,60,603.04,492.29,23.65,11.64
LSP000200,CAM0005,2025-05-23,2025-05-23T14:39:00,FACTUAL,daytime,30,693.39,503.94,7.05,3.55
LSP000201,CAM0038,2025-03-19,2025-03-19T20:23:00,EXTRA,peak,30,636.9,620.64,28.86,17.91
LSP000202,CAM0003,2025-06-25,2025-06-25T23:09:00,CATCHUP,post-peak,60,165.61,172.15,20.16,3.47
LSP000203,CAM0016,2025-12-05,2025-12-05T18:40:00,EXTRA,pre-peak,20,483.32,466.09,20.64,9.62
LSP000204,CAM0053,2025-03-01,2025-03-01T08:29:00,MOVIES,breakfast,30,276.03,281.6,11.73,3.3
LSP000205,CAM0025,2025-12-16,2025-12-16T21:30:00,FACTUAL,peak,20,447.83,440.26,32.37,14.25
LSP000206,CAM0025,2025-12-14,2025-12-14T16:33:00,MAIN,daytime,10,738.28,765.22,8.59,6.57
LSP000207,CAM0059,2025-11-30,2025-11-30T21:21:00,FACTUAL,peak,30,651.74,656.13,27.99,18.37
LSP000208,CAM0044,2025-05-04,2025-05-04T21:37:00,EXTRA,peak,30,303.05,295.29,29.12,8.6
LSP000209,CAM0044,2025-01-05,2025-01-05T21:00:00,MOVIES,peak,10,443.95,438.68,31.43,13.79
LSP000210,CAM0017,2025-04-09,2025-04-09T07:39:00,MAIN,breakfast,10,753.88,774.11,14.65,11.34
LSP000211,CAM0041,2025-03-04,2025-03-04T21:07:00,MAIN,peak,60,503.51,514.14,30.42,15.64
LSP000212,CAM0052,2025-04-05,2025-04-05T23:44:00,EXTRA,post-peak,30,270.93,261.73,17.63,4.61
LSP000213,CAM0018,2025-08-07,2025-08-07T21:42:00,FACTUAL,peak,30,171.47,175.27,26.98,4.73
LSP000214,CAM0022,2025-01-31,2025-01-31T14:52:00,FACTUAL,daytime,20,380.43,393.47,9.66,3.8
LSP000215,CAM0012,2025-11-27,2025-11-27T20:09:00,CATCHUP,peak,60,373.44,361.68,27.74,10.03
LSP000216,CAM0017,2025-02-22,2025-02-22T07:04:00,CATCHUP,breakfast,40,237.95,245.5,9.04,2.22
LSP000217,CAM0041,2025-01-01,2025-01-01T23:42:00,MOVIES,post-peak,30,163.71,162.29,14.03,2.28
LSP000218,CAM0046,2025-09-09,2025-09-09T20:25:00,MAIN,peak,30,219.39,222.71,32.14,7.16
LSP000219,CAM0008,2025-10-18,2025-10-18T20:22:00,FACTUAL,peak,40,277.12,288.14,30.41,8.76
LSP000220,CAM0024,2025-10-01,2025-10-01T21:21:00,MAIN,peak,60,394.73,399.4,24.3,9.71
LSP000221,CAM0003,2025-07-16,2025-07-16T20:19:00,MOVIES,peak,10,522.96,505.59,30.23,15.28
LSP000222,CAM0048,2025-04-08,2025-04-08T10:12:00,MAIN,daytime,40,797.29,790.2,10.76,8.5
LSP000223,CAM0042,2025-06-07,2025-06-07T20:53:00,MOVIES,peak,10,77.78,79.57,22.56,1.8
LSP000224,CAM0008,2025-04-19,2025-04-19T21:42:00,CATCHUP,peak,30,755.07,757.28,31.63,23.95
LSP000225,CAM0015,2025-02-06,2025-02-06T07:09:00,MOVIES,breakfast,40,64.3,64.91,9.7,0.63
LSP000226,CAM0042,2025-03-08,2025-03-08T07:40:00,MAIN,breakfast,30,665.55,671.47,13.85,9.3
LSP000227,CAM0005,2025-02-24,2025-02-24T10:38:00,CATCHUP,daytime,20,97.33,96.06,11.02,1.06
LSP000228,CAM0048,2025-12-14,2025-12-14T18:07:00,CATCHUP,pre-peak,30,153.0,156.59,25.64,4.01
LSP000229,CAM0038,2025-03-30,2025-03-30T16:07:00,FACTUAL,daytime,20,618.16,611.73,6.99,4.28
