event_id,event_timestamp,user_id,session_id,programme_id,episode_id,event_type,position_sec,platform
EV00000077,2025-05-05T00:23:43,U003257,S0003020,P045,E00412,50pct,1350,web
EV00000078,2025-05-05T00:34:58,U003257,S0003020,P045,E00412,75pct,2025,web
EV00000079,2025-05-05T00:46:13,U003257,S0003020,P045,E00412,complete,2700,web
EV00000080,2025-11-20T15:22:47,U002547,S0004517,P058,E00523,start,0,ios
EV00000081,2025-11-20T15:37:47,U002547,S0004517,P058,E00523,25pct,900,ios
EV00000082,2025-11-20T15:52:47,U002547,S0004517,P058,E00523,50pct,1800,ios
EV00000083,2025-11-20T16:07:47,U002547,S0004517,P058,E00523,75pct,2700,ios
EV00000084,2025-11-20T16:22:47,U002547,S0004517,P058,E00523,complete,3600,ios
EV00000085,2025-01-30T15:36:26,U000293,S0001367,P043,E00380,start,0,ctv
EV00000086,2025-01-30T15:42:41,U000293,S0001367,P043,E00380,25pct,375,ctv
EV00000087,2025-01-30T15:48:56,U000293,S0001367,P043,E00380,50pct,750,ctv
EV00000088,2025-01-30T15:55:11,U000293,S0001367,P043,E00380,75pct,1125,ctv
EV00000089,2025-09-15T16:04:24,U003611,S0002959,P018,E00175,start,0,web
EV00000090,2025-09-15T16:19:24,U003611,S0002959,P018,E00175,25pct,900,web
EV00000091,2025-09-15T16:34:24,U003611,S0002959,P018,E00175,50pct,1800,web
EV00000092,2025-09-15T16:49:24,U003611,S0002959,P018,E00175,75pct,2700,web
EV00000093,2025-09-15T17:04:24,U003611,S0002959,P018,E00175,complete,3600,web
EV00000094,2025-04-03T10:56:51,U002901,S0000202,P013,E00133,start,0,ctv
EV00000095,2025-04-03T11:11:51,U002901,S0000202,P013,E00133,25pct,900,ctv
EV00000096,2025-04-03T11:26:51,U002901,S0000202,P013,E00133,50pct,1800,ctv
EV00000097,2025-02-18T13:03:53,U000333,S0000884,P020,E00194,start,0,ctv
EV00000098,2025-02-18T13:18:53,U000333,S0000884,P020,E00194,25pct,900,ctv
EV00000099,2025-02-18T13:33:53,U000333,S0000884,P020,E00194,50pct,1800,ctv
EV00000100,2025-02-18T13:48:53,U000333,S0000884,P020,E00194,75pct,2700,ctv
EV00000101,2025-02-18T14:03:53,U000333,S0000884,P020,E00194,complete,3600,ctv
EV00000102,2025-11-06T23:44:36,U000483,S0005483,P001,E00003,start,0,android
EV00000103,2025-11-06T23:59:36,U000483,S0005483,P001,E00003,25pct,900,android
EV00000104,2025-11-07T00:14:36,U000483,S0005483,P001,E00003,50pct,1800,android
EV00000105,2025-11-07T00:29:36,U000483,S0005483,P001,E00003,75pct,2700,android
EV00000106,2025-11-07T00:44:36,U000483,S0005483,P001,E00003,complete,3600,android
EV00000107,2025-03-28T23:38:33,U002282,S0004134,P038,E00329,start,0,ios
EV00000108,2025-03-28T23:53:33,U002282,S0004134,P038,E00329,25pct,900,ios
EV00000109,2025-03-29T00:08:33,U002282,S0004134,P038,E00329,50pct,1800,ios
EV00000110,2025-03-29T00:23:33,U002282,S0004134,P038,E00329,75pct,2700,ios
EV00000111,2025-03-29T00:38:33,U002282,S0004134,P038,E00329,complete,3600,ios
EV00000112,2025-02-23T13:14:52,U001267,S0004232,P051,E00457,start,0,ctv
EV00000113,2025-02-23T13:22:22,U001267,S0004232,P051,E00457,25pct,450,ctv
EV00000114,2025-02-23T13:29:52,U001267,S0004232,P051,E00457,50pct,900,ctv
EV00000115,2025-02-23T13:37:22,U001267,S0004232,P051,E00457,75pct,1350,ctv
EV00000116,2025-02-23T13:44:52,U001267,S0004232,P051,E00457,complete,1800,ctv
EV00000117,2025-05-24T11:04:29,U001209,S0000505,P054,E00492,start,0,web
EV00000118,2025-05-24T11:10:44,U001209,S0000505,P054,E00492,25pct,375,web
EV00000119,2025-05-24T11:16:59,U001209,S0000505,P054,E00492,50pct,750,web
EV00000120,2025-05-24T11:23:14,U001209,S0000505,P054,E00492,75pct,1125,web
EV00000121,2025-05-24T11:29:29,U001209,S0000505,P054,E00492,complete,1500,web
EV00000122,2025-05-24T10:57:42,U000588,S0002882,P004,E00038,start,0,ios
EV00000123,2025-05-24T11:11:27,U000588,S0002882,P004,E00038,25pct,825,ios
EV00000124,2025-05-24T11:25:12,U000588,S0002882,P004,E00038,50pct,1650,ios
EV00000125,2025-05-24T11:38:57,U000588,S0002882,P004,E00038,75pct,2475,ios
EV00000126,2025-05-24T11:52:42,U000588,S0002882,P004,E00038,complete,3300,ios
EV00000127,2025-08-29T08:32:23,U003172,S0005374,P048,E00428,start,0,android
EV00000128,2025-08-29T09:17:23,U003172,S0005374,P048,E00428,25pct,2700,android
EV00000129,2025-02-21T20:50:26,U001549,S0004343,P012,E00122,start,0,android
EV00000130,2025-02-21T21:05:26,U001549,S0004343,P012,E00122,25pct,900,android
EV00000131,2025-02-21T21:20:26,U001549,S0004343,P012,E00122,50pct,1800,android
EV00000132,2025-02-21T21:35:26,U001549,S0004343,P012,E00122,75pct,2700,android
EV00000133,2025-02-21T21:50:26,U001549,S0004343,P012,E00122,complete,3600,android
EV00000134,2025-12-29T16:00:13,U002678,S0004394,P003,E00027,start,0,ios
EV00000135,2025-12-29T16:07:43,U002678,S0004394,P003,E00027,25pct,450,ios
EV00000136,2025-12-29T16:15:13,U002678,S0004394,P003,E00027,50pct,900,ios
EV00000137,2025-12-29T16:22:43,U002678,S0004394,P003,E00027,75pct,1350,ios
EV00000138,2025-12-29T16:30:13,U002678,S0004394,P003,E00027,complete,1800,ios
EV00000139,2025-11-30T23:11:21,U000947,S0005671,P006,E00062,start,0,android
EV00000140,2025-11-30T23:18:51,U000947,S0005671,P006,E00062,25pct,450,android
EV00000141,2025-11-30T23:26:21,U000947,S0005671,P006,E00062,50pct,900,android
EV00000142,2025-11-30T23:33:51,U000947,S0005671,P006,E00062,75pct,1350,android
EV00000143,2025-11-30T23:41:21,U000947,S0005671,P006,E00062,complete,1800,android
EV00000144,2025-10-10T08:20:46,U002559,S0000804,P053,E00480,start,0,ctv
EV00000145,2025-10-10T08:43:16,U002559,S0000804,P053,E00480,25pct,1350,ctv
EV00000146,2025-10-10T09:05:46,U002559,S0000804,P053,E00480,50pct,2700,ctv
EV00000147,2025-10-10T09:28:16,U002559,S0000804,P053,E00480,75pct,4050,ctv
EV00000148,2025-03-26T11:33:26,U000983,S0002360,P028,E00282,start,0,ios
EV00000149,2025-03-26T11:39:41,U000983,S0002360,P028,E00282,25pct,375,ios
EV00000150,2025-03-26T11:45:56,U000983,S0002360,P028,E00282,50pct,750,ios
EV00000151,2025-03-26T11:52:11,U000983,S0002360,P028,E00282,75pct,1125,ios
EV00000152,2025-03-26T11:58:26,U000983,S0002360,P028,E00282,complete,1500,ios
EV00000153,2025-03-15T10:47:52,U002643,S0000315,P057,E00517,start,0,android
EV00000154,2025-03-15T11:02:52,U002643,S0000315,P057,E00517,25pct,900,android
EV00000155,2025-03-15T11:17:52,U002643,S0000315,P057,E00517,50pct,1800,android
EV00000156,2025-03-15T11:32:52,U002643,S0000315,P057,E00517,75pct,2700,android
EV00000157,2025-03-15T11:47:52,U002643,S0000315,P057,E00517,complete,3600,android
EV00000158,2025-01-20T23:31:15,U002761,S0003107,P004,E00043,start,0,ios
EV00000159,2025-01-20T23:45:00,U002761,S0003107,P004,E00043,25pct,825,ios
EV00000160,2025-01-20T23:58:45,U002761,S0003107,P004,E00043,50pct,1650,ios
EV00000161,2025-10-17T13:08:38,U001943,S0003135,P040,E00350,start,0,android
EV00000162,2025-10-17T13:23:38,U001943,S0003135,P040,E00350,25pct,900,android
EV00000163,2025-10-17T13:38:38,U001943,S0003135,P040,E00350,50pct,1800,android
EV00000164,2025-10-17T13:53:38,U001943,S0003135,P040,E00350,75pct,2700,android
EV00000165,2025-10-17T14:08:38,U001943,S0003135,P040,E00350,complete,3600,android
EV00000166,2025-09-02T15:33:10,U000713,S0002851,P004,E00034,start,0,ctv
EV00000167,2025-09-02T15:46:55,U000713,S0002851,P004,E00034,25pct,825,ctv
EV00000168,2025-09-02T16:00:40,U000713,S0002851,P004,E00034,50pct,1650,ctv
EV00000169,2025-09-02T16:14:25,U000713,S0002851,P004,E00034,75pct,2475,ctv
EV00000170,2025-09-02T16:28:10,U000713,S0002851,P004,E00034,complete,3300,ctv
EV00000171,2025-02-16T16:10:17,U003317,S0003899,P040,E00349,start,0,web
EV00000172,2025-02-16T16:25:17,U003317,S0003899,P040,E00349,25pct,900,web
EV00000173,2025-02-16T16:40:17,U003317,S0003899,P040,E00349,50pct,1800,web
EV00000174,2025-02-16T16:55:17,U003317,S0003899,P040,E00349,75pct,2700,web
EV00000175,2025-02-16T17:10:17,U003317,S0003899,P040,E00349,complete,3600,web
EV00000176,2025-04-04T20:47:09,U003205,S0002992,P029,E00299,start,0,android
EV00000177,2025-04-04T20:53:24,U003205,S0002992,P029,E00299,25pct,375,android
EV00000178,2025-04-04T20:59:39,U003205,S0002992,P029,E00299,50pct,750,android
EV00000179,2025-04-04T21:05:54,U003205,S0002992,P029,E00299,75pct,1125,android
EV00000180,2025-04-04T21:12:09,U003205,S0002992,P029,E00299,complete,1500,android
EV00000181,2025-02-23T19:40:44,U001671,S0005242,P025,E00250,start,0,ios
EV00000182,2025-02-23T19:48:14,U001671,S0005242,P025,E00250,25pct,450,ios
EV00000183,2025-01-27T23:30:45,U003668,S0003324,P036,E00316,start,0,ios
EV00000184,2025-01-27T23:45:45,U003668,S0003324,P036,E00316,25pct,900,ios
EV00000185,2025-01-28T00:00:45,U003668,S0003324,P036,E00316,50pct,1800,ios
EV00000186,2025-01-28T00:15:45,U003668,S0003324,P036,E00316,75pct,2700,ios
EV00000187,2025-01-28T00:30:45,U003668,S0003324,P036,E00316,complete,3600,ios
EV00000188,2025-04-11T11:04:38,U003708,S0004624,P058,E00524,start,0,android
EV00000189,2025-09-19T15:23:09,U000597,S0004147,P029,E00292,start,0,ios
EV00000190,2025-09-19T15:29:24,U000597,S0004147,P029,E00292,25pct,375,ios
EV00000191,2025-09-19T15:35:39,U000597,S0004147,P029,E00292,50pct,750,ios
EV00000192,2025-09-19T15:41:54,U000597,S0004147,P029,E00292,75pct,1125,ios
EV00000193,2025-09-19T15:48:09,U000597,S0004147,P029,E00292,complete,1500,ios
EV00000194,2025-03-01T17:31:59,U002702,S0005391,P035,E00311,start,0,android
EV00000195,2025-03-01T18:10:44,U002702,S0005391,P035,E00311,25pct,2325,android
EV00000196,2025-03-01T18:49:29,U002702,S0005391,P035,E00311,50pct,4650,android
EV00000197,2025-03-01T19:28:14,U002702,S0005391,P035,E00311,75pct,6975,android
EV00000198,2025-03-01T20:06:59,U002702,S0005391,P035,E00311,complete,9300,android
EV00000199,2025-07-22T13:06:44,U002558,S0003242,P053,E00486,start,0,ios
EV00000200,2025-07-22T13:29:14,U002558,S0003242,P053,E00486,25pct,1350,ios
EV00000201,2025-07-22T13:51:44,U002558,S0003242,P053,E00486,50pct,2700,ios
EV00000202,2025-07-22T14:14:14,U002558,S0003242,P053,E00486,75pct,4050,ios
EV00000203,2025-07-22T14:36:44,U002558,S0003242,P053,E00486,complete,5400,ios
EV00000204,2025-09-28T18:31:20,U002408,S0003102,P036,E00312,start,0,android
EV00000205,2025-09-28T18:46:20,U002408,S0003102,P036,E00312,25pct,900,android
EV00000206,2025-04-10T15:03:02,U000820,S0003477,P015,E00152,start,0,web
EV00000207,2025-04-10T15:18:02,U000820,S0003477,P015,E00152,25pct,900,web
EV00000208,2025-04-10T15:33:02,U000820,S0003477,P015,E00152,50pct,1800,web
EV00000209,2025-04-10T15:48:02,U000820,S0003477,P015,E00152,75pct,2700,web
EV00000210,2025-04-10T16:03:02,U000820,S0003477,P015,E00152,complete,3600,web
EV00000211,2025-12-07T17:21:41,U003968,S0002246,P043,E00381,start,0,android
EV00000212,2025-12-07T17:27:56,U003968,S0002246,P043,E00381,25pct,375,android
EV00000213,2025-12-07T17:34:11,U003968,S0002246,P043,E00381,50pct,750,android
EV00000214,2025-12-07T17:40:26,U003968,S0002246,P043,E00381,75pct,1125,android
EV00000215,2025-12-07T17:46:41,U003968,S0002246,P043,E00381,complete,1500,android
EV00000216,2025-09-01T20:39:12,U000778,S0003237,P016,E00156,start,0,ios
EV00000217,2025-09-01T20:54:12,U000778,S0003237,P016,E00156,25pct,900,ios
EV00000218,2025-09-01T21:09:12,U000778,S0003237,P016,E00156,50pct,1800,ios
EV00000219,2025-09-01T21:24:12,U000778,S0003237,P016,E00156,75pct,2700,ios
EV00000220,2025-09-01T21:39:12,U000778,S0003237,P016,E00156,complete,3600,ios
EV00000221,2025-01-21T14:43:02,U003155,S0001480,P059,E00530,start,0,ios
EV00000222,2025-06-09T17:17:03,U000237,S0004266,P015,E00153,start,0,web
EV00000223,2025-06-09T17:32:03,U000237,S0004266,P015,E00153,25pct,900,web
EV00000224,2025-06-09T17:47:03,U000237,S0004266,P015,E00153,50pct,1800,web
EV00000225,2025-06-09T18:02:03,U000237,S0004266,P015,E00153,75pct,2700,web
EV00000226,2025-06-09T18:17:03,U000237,S0004266,P015,E00153,complete,3600,web
EV00000227,2025-03-21T13:53:54,U003948,S0004595,P018,E00173,start,0,ios
EV00000228,2025-01-30T11:53:35,U003898,S0004413,P031,E00307,start,0,android
EV00000229,2025-01-30T12:22:35,U003898,S0004413,P031,E00307,25pct,1740,android
EV00000230,2025-01-30T12:51:35,U003898,S0004413,P031,E00307,50pct,3480,android
EV00000231,2025-01-30T13:20:35,U003898,S0004413,P031,E00307,75pct,5220,android
EV00000232,2025-06-15T20:30:04,U002867,S0000069,P056,E00514,start,0,android
EV00000233,2025-06-15T20:45:04,U002867,S0000069,P056,E00514,25pct,900,android
EV00000234,2025-06-15T21:00:04,U002867,S0000069,P056,E00514,50pct,1800,android
EV00000235,2025-06-15T21:15:04,U002867,S0000069,P056,E00514,75pct,2700,android
EV00000236,2025-06-15T21:30:04,U002867,S0000069,P056,E00514,complete,3600,android
EV00000237,2025-09-08T17:24:49,U000963,S0000043,P019,E00187,start,0,ios
EV00000238,2025-09-08T17:39:49,U000963,S0000043,P019,E00187,25pct,900,ios
EV00000239,2025-09-08T17:54:49,U000963,S0000043,P019,E00187,50pct,1800,ios
EV00000240,2025-09-08T18:09:49,U000963,S0000043,P019,E00187,75pct,2700,ios
EV00000241,2025-10-05T17:41:08,U000060,S0003877,P061,E00546,start,0,web
EV00000242,2025-10-05T17:56:08,U000060,S0003877,P061,E00546,25pct,900,web
EV00000243,2025-10-05T18:11:08,U000060,S0003877,P061,E00546,50pct,1800,web
EV00000244,2025-10-05T18:26:08,U000060,S0003877,P061,E00546,75pct,2700,web
EV00000245,2025-04-10T21:40:43,U001373,S0001468,P025,E00250,start,0,ios
EV00000246,2025-04-10T21:48:13,U001373,S0001468,P025,E00250,25pct,450,ios
EV00000247,2025-04-10T21:55:43,U001373,S0001468,P025,E00250,50pct,900,ios
EV00000248,2025-04-10T22:03:13,U001373,S0001468,P025,E00250,75pct,1350,ios
EV00000249,2025-04-10T22:10:43,U001373,S0001468,P025,E00250,complete,1800,ios
EV00000250,2025-09-14T15:18:47,U000869,S0002086,P045,E00408,start,0,ios
EV00000251,2025-09-14T15:30:02,U000869,S0002086,P045,E00408,25pct,675,ios
EV00000252,2025-09-14T15:41:17,U000869,S0002086,P045,E00408,50pct,1350,ios
EV00000253,2025-09-14T15:52:32,U000869,S0002086,P045,E00408,75pct,2025,ios
EV00000254,2025-09-14T16:03:47,U000869,S0002086,P045,E00408,complete,2700,ios
EV00000255,2025-12-07T20:35:35,U000615,S0002944,P030,E00303,start,0,android
EV00000256,2025-12-07T20:41:50,U000615,S0002944,P030,E00303,25pct,375,android
EV00000257,2025-12-07T20:48:05,U000615,S0002944,P030,E00303,50pct,750,android
EV00000258,2025-12-07T20:54:20,U000615,S0002944,P030,E00303,75pct,1125,android
EV00000259,2025-12-07T21:00:35,U000615,S0002944,P030,E00303,complete,1500,android
EV00000260,2025-03-16T22:47:47,U003130,S0003756,P053,E00482,start,0,web
EV00000261,2025-03-16T23:10:17,U003130,S0003756,P053,E00482,25pct,1350,web
EV00000262,2025-03-16T23:32:47,U003130,S0003756,P053,E00482,50pct,2700,web
EV00000263,2025-03-16T23:55:17,U003130,S0003756,P053,E00482,75pct,4050,web
EV00000264,2025-03-17T00:17:47,U003130,S0003756,P053,E00482,complete,5400,web
EV00000265,2025-06-30T15:58:56,U003653,S0002841,P041,E00352,start,0,ios
EV00000266,2025-06-30T16:28:56,U003653,S0002841,P041,E00352,25pct,1800,ios
EV00000267,2025-06-30T16:58:56,U003653,S0002841,P041,E00352,50pct,3600,ios
EV00000268,2025-06-30T17:28:56,U003653,S0002841,P041,E00352,75pct,5400,ios
EV00000269,2025-06-29T08:18:42,U000371,S0005479,P014,E00145,start,0,android
EV00000270,2025-06-29T08:33:42,U000371,S0005479,P014,E00145,25pct,900,android
EV00000271,2025-06-29T08:48:42,U000371,S0005479,P014,E00145,50pct,1800,android
EV00000272,2025-06-29T09:03:42,U000371,S0005479,P014,E00145,75pct,2700,android
EV00000273,2025-06-29T09:18:42,U000371,S0005479,P014,E00145,complete,3600,android
EV00000274,2025-06-28T08:53:09,U001427,S0004305,P045,E00408,start,0,web
EV00000275,2025-06-28T09:04:24,U001427,S0004305,P045,E00408,25pct,675,web
EV00000276,2025-06-28T09:15:39,U001427,S0004305,P045,E00408,50pct,1350,web
EV00000277,2025-06-28T09:26:54,U001427,S0004305,P045,E00408,75pct,2025,web
EV00000278,2025-06-28T09:38:09,U001427,S0004305,P045,E00408,complete,2700,web
EV00000279,2025-09-05T19:03:24,U000187,S0000103,P038,E00329,start,0,web
EV00000280,2025-09-05T19:18:24,U000187,S0000103,P038,E00329,25pct,900,web
EV00000281,2025-09-05T19:33:24,U000187,S0000103,P038,E00329,50pct,1800,web
EV00000282,2025-09-05T19:48:24,U000187,S0000103,P038,E00329,75pct,2700,web
EV00000283,2025-09-05T20:03:24,U000187,S0000103,P038,E00329,complete,3600,web
EV00000284,2025-11-13T15:44:48,U002110,S0005512,P052,E00470,start,0,android
EV00000285,2025-11-13T15:59:48,U002110,S0005512,P052,E00470,25pct,900,android
EV00000286,2025-11-13T16:14:48,U002110,S0005512,P052,E00470,50pct,1800,android
EV00000287,2025-09-04T13:28:53,U002699,S0002145,P046,E00415,start,0,ios
EV00000288,2025-09-04T13:43:53,U002699,S0002145,P046,E00415,25pct,900,ios
EV00000289,2025-10-16T10:42:12,U001962,S0001289,P052,E00461,start,0,ios
EV00000290,2025-10-16T10:57:12,U001962,S0001289,P052,E00461,25pct,900,ios
EV00000291,2025-10-16T11:12:12,U001962,S0001289,P052,E00461,50pct,1800,ios
EV00000292,2025-10-16T11:27:12,U001962,S0001289,P052,E00461,75pct,2700,ios
EV00000293,2025-10-16T11:42:12,U001962,S0001289,P052,E00461,complete,3600,ios
EV00000294,2025-02-19T11:43:54,U001216,S0004287,P017,E00162,start,0,web
EV00000295,2025-04-10T13:50:48,U001924,S0003300,P027,E00269,start,0,ios
EV00000296,2025-04-10T13:57:03,U001924,S0003300,P027,E00269,25pct,375,ios
EV00000297,2025-04-10T14:03:18,U001924,S0003300,P027,E00269,50pct,750,ios
EV00000298,2025-04-10T14:09:33,U001924,S0003300,P027,E00269,75pct,1125,ios
EV00000299,2025-04-10T14:15:48,U001924,S0003300,P027,E00269,complete,1500,ios
EV00000300,2025-09-22T14:28:51,U003763,S0004001,P054,E00493,start,0,ios
EV00000301,2025-09-22T14:35:06,U003763,S0004001,P054,E00493,25pct,375,ios
EV00000302,2025-09-22T14:41:21,U003763,S0004001,P054,E00493,50pct,750,ios
EV00000303,2025-09-22T14:47:36,U003763,S0004001,P054,E00493,75pct,1125,ios
EV00000304,2025-09-22T14:53:51,U003763,S0004001,P054,E00493,complete,1500,ios
EV00000305,2025-11-15T12:12:45,U001870,S0001540,P061,E00542,start,0,ctv
EV00000306,2025-11-15T12:27:45,U001870,S0001540,P061,E00542,25pct,900,ctv
EV00000307,2025-11-15T12:42:45,U001870,S0001540,P061,E00542,50pct,1800,ctv
EV00000308,2025-11-15T12:57:45,U001870,S0001540,P061,E00542,75pct,2700,ctv
EV00000309,2025-11-15T13:12:45,U001870,S0001540,P061,E00542,complete,3600,ctv
EV00000310,2025-04-15T10:05:22,U002646,S0002251,P013,E00140,start,0,ios
EV00000311,2025-04-15T10:20:22,U002646,S0002251,P013,E00140,25pct,900,ios
EV00000312,2025-04-15T10:35:22,U002646,S0002251,P013,E00140,50pct,1800,ios
EV00000313,2025-04-15T10:50:22,U002646,S0002251,P013,E00140,75pct,2700,ios
EV00000314,2025-04-15T11:05:22,U002646,S0002251,P013,E00140,complete,3600,ios
EV00000315,2025-10-20T16:45:12,U000397,S0000872,P041,E00360,start,0,android
EV00000316,2025-10-20T17:15:12,U000397,S0000872,P041,E00360,25pct,1800,android
EV00000317,2025-10-20T17:45:12,U000397,S0000872,P041,E00360,50pct,3600,android
EV00000318,2025-10-20T18:15:12,U000397,S0000872,P041,E00360,75pct,5400,android
EV00000319,2025-10-20T18:45:12,U000397,S0000872,P041,E00360,complete,7200,android
