broadcast_date,programme_id,channel_id,overnight_viewers_thousands,c7_viewers_thousands,c7_reach_thousands,_loaded_at
2025-02-15,P022,FACTUAL,3.246,4.003,4.227,2025-12-31T23:59:00
2025-02-15,P010,MOVIES,0.815,1.037,1.306,2025-12-31T23:59:00
2025-02-15,P005,CATCHUP,0.66,0.939,1.093,2025-12-31T23:59:00
2025-02-15,P008,CATCHUP,5.113,7.875,8.412,2025-12-31T23:59:00
2025-02-15,P025,MAIN,1.188,1.547,1.631,2025-12-31T23:59:00
2025-02-15,P016,CATCHUP,2.404,3.752,4.063,2025-12-31T23:59:00
2025-02-15,P013,CATCHUP,3.433,5.168,5.543,2025-12-31T23:59:00
2025-02-15,P020,FACTUAL,2.706,3.873,4.908,2025-12-31T23:59:00
2025-02-15,P014,FACTUAL,2.609,3.274,3.959,2025-12-31T23:59:00
2025-03-02,P030,FACTUAL,3.221,4.897,5.297,2025-12-31T23:59:00
2025-03-02,P022,FACTUAL,1.354,1.678,2.146,2025-12-31T23:59:00
2025-03-02,P002,FACTUAL,3.624,5.332,6.397,2025-12-31T23:59:00
2025-03-02,P001,MOVIES,4.826,6.926,8.544,2025-12-31T23:59:00
2025-03-02,P023,EXTRA,1.962,2.178,2.315,2025-12-31T23:59:00
2025-03-02,P012,MOVIES,1.715,2.547,3.207,2025-12-31T23:59:00
2025-03-02,P006,EXTRA,1.982,2.686,3.308,2025-12-31T23:59:00
2025-03-02,P004,MOVIES,4.475,6.682,7.222,2025-12-31T23:59:00
2025-03-02,P028,FACTUAL,4.533,6.754,7.342,2025-12-31T23:59:00
2025-03-02,P010,EXTRA,2.828,3.766,4.066,2025-12-31T23:59:00
2025-03-02,P011,MOVIES,5.374,7.05,8.461,2025-12-31T23:59:00
2025-03-02,P029,MAIN,2.83,3.372,4.361,2025-12-31T23:59:00
2025-03-02,P013,MAIN,3.752,4.837,5.48,2025-12-31T23:59:00
2025-03-02,P016,FACTUAL,2.759,3.422,4.286,2025-12-31T23:59:00
2025-03-02,P009,FACTUAL,4.062,5.591,6.338,2025-12-31T23:59:00
2025-03-17,P007,MOVIES,1.52,2.114,2.364,2025-12-31T23:59:00
2025-03-17,P027,FACTUAL,0.911,1.201,1.422,2025-12-31T23:59:00
2025-03-17,P030,MAIN,1.866,2.471,3.003,2025-12-31T23:59:00
2025-03-17,P029,MAIN,5.415,7.84,9.716,2025-12-31T23:59:00
2025-03-17,P013,CATCHUP,1.707,2.362,2.577,2025-12-31T23:59:00
2025-03-17,P019,FACTUAL,1.222,1.863,2.291,2025-12-31T23:59:00
2025-03-17,P028,EXTRA,1.058,1.543,1.646,2025-12-31T23:59:00
2025-03-17,P022,FACTUAL,4.816,6.744,8.004,2025-12-31T23:59:00
2025-03-17,P009,MOVIES,1.332,1.999,2.469,2025-12-31T23:59:00
2025-03-17,P004,MOVIES,2.863,3.614,4.693,2025-12-31T23:59:00
2025-03-17,P017,MAIN,1.524,2.305,2.582,2025-12-31T23:59:00
2025-03-17,P010,CATCHUP,4.886,7.799,10.004,2025-12-31T23:59:00
2025-03-17,P016,MAIN,3.277,4.761,5.946,2025-12-31T23:59:00
2025-03-17,P001,FACTUAL,4.371,5.893,6.959,2025-12-31T23:59:00
2025-03-17,P014,MAIN,5.21,5.753,6.072,2025-12-31T23:59:00
2025-04-01,P001,FACTUAL,3.181,4.871,5.794,2025-12-31T23:59:00
2025-04-01,P005,EXTRA,0.965,1.23,1.324,2025-12-31T23:59:00
2025-04-01,P019,MOVIES,5.472,7.028,7.991,2025-12-31T23:59:00
2025-04-01,P030,FACTUAL,3.725,5.016,6.166,2025-12-31T23:59:00
2025-04-01,P026,CATCHUP,4.557,6.999,7.912,2025-12-31T23:59:00
2025-04-01,P003,CATCHUP,4.772,6.622,7.468,2025-12-31T23:59:00
2025-04-01,P011,MOVIES,4.481,5.905,6.609,2025-12-31T23:59:00
2025-04-01,P018,EXTRA,3.952,5.842,6.615,2025-12-31T23:59:00
2025-04-01,P022,FACTUAL,3.437,3.804,4.294,2025-12-31T23:59:00
2025-04-01,P017,CATCHUP,2.685,3.039,3.232,2025-12-31T23:59:00
2025-04-01,P029,EXTRA,2.677,4.16,5.026,2025-12-31T23:59:00
2025-04-01,P028,CATCHUP,4.998,5.874,6.737,2025-12-31T23:59:00
2025-04-01,P027,MAIN,2.815,4.378,5.419,2025-12-31T23:59:00
2025-04-01,P008,EXTRA,0.825,1.136,1.301,2025-12-31T23:59:00
2025-04-01,P016,EXTRA,1.078,1.312,1.62,2025-12-31T23:59:00
2025-04-16,P003,MOVIES,4.232,5.535,6.224,2025-12-31T23:59:00
2025-04-16,P026,MOVIES,2.279,3.537,3.888,2025-12-31T23:59:00
2025-04-16,P004,MAIN,3.566,5.558,5.849,2025-12-31T23:59:00
2025-04-16,P005,MOVIES,2.597,3.918,5.001,2025-12-31T23:59:00
2025-04-16,P014,MAIN,4.316,4.943,5.424,2025-12-31T23:59:00
2025-04-16,P002,FACTUAL,4.463,5.613,6.029,2025-12-31T23:59:00
2025-04-16,P007,EXTRA,2.887,3.271,3.816,2025-12-31T23:59:00
2025-04-16,P006,MAIN,0.837,1.115,1.398,2025-12-31T23:59:00
2025-04-16,P023,CATCHUP,4.166,6.301,7.361,2025-12-31T23:59:00
2025-04-16,P025,MAIN,0.585,0.867,1.097,2025-12-31T23:59:00
2025-04-16,P013,CATCHUP,1.341,1.832,2.165,2025-12-31T23:59:00
2025-04-16,P024,MAIN,2.207,2.785,3.46,2025-12-31T23:59:00
2025-04-16,P018,MOVIES,0.884,1.189,1.38,2025-12-31T23:59:00
2025-04-16,P015,MAIN,3.886,5.247,6.331,2025-12-31T23:59:00
2025-04-16,P019,FACTUAL,4.322,5.481,6.983,2025-12-31T23:59:00
2025-05-01,P019,MAIN,3.96,5.001,5.328,2025-12-31T23:59:00
2025-05-01,P004,CATCHUP,4.638,6.737,8.138,2025-12-31T23:59:00
2025-05-01,P027,CATCHUP,3.429,4.276,5.407,2025-12-31T23:59:00
2025-05-01,P029,CATCHUP,4.226,6.159,6.578,2025-12-31T23:59:00
2025-05-01,P016,CATCHUP,1.437,2.298,2.494,2025-12-31T23:59:00
2025-05-01,P011,MAIN,1.567,2.223,2.775,2025-12-31T23:59:00
2025-05-01,P021,MAIN,1.777,2.807,3.262,2025-12-31T23:59:00
2025-05-01,P017,MOVIES,2.851,3.219,3.574,2025-12-31T23:59:00
2025-05-01,P002,FACTUAL,6.116,8.719,11.041,2025-12-31T23:59:00
2025-05-01,P006,MOVIES,4.268,6.025,7.653,2025-12-31T23:59:00
2025-05-01,P015,MAIN,3.346,4.994,6.096,2025-12-31T23:59:00
2025-05-01,P010,MAIN,2.766,3.371,3.757,2025-12-31T23:59:00
2025-05-01,P009,MOVIES,3.695,4.393,4.686,2025-12-31T23:59:00
2025-05-01,P014,CATCHUP,2.08,3.317,3.775,2025-12-31T23:59:00
2025-05-01,P005,EXTRA,1.81,2.614,3.344,2025-12-31T23:59:00
2025-05-16,P020,FACTUAL,5.41,7.689,9.036,2025-12-31T23:59:00
2025-05-16,P026,EXTRA,4.757,7.183,7.815,2025-12-31T23:59:00
2025-05-16,P005,CATCHUP,2.656,3.845,4.591,2025-12-31T23:59:00
2025-05-16,P029,CATCHUP,4.089,5.316,6.776,2025-12-31T23:59:00
2025-05-16,P019,MOVIES,2.409,2.831,3.086,2025-12-31T23:59:00
2025-05-16,P003,EXTRA,4.618,5.966,7.007,2025-12-31T23:59:00
2025-05-16,P023,CATCHUP,5.016,6.366,7.616,2025-12-31T23:59:00
2025-05-16,P018,FACTUAL,3.237,4.871,5.403,2025-12-31T23:59:00
2025-05-16,P014,FACTUAL,3.09,4.158,4.54,2025-12-31T23:59:00
2025-05-16,P009,CATCHUP,2.99,3.659,4.511,2025-12-31T23:59:00
2025-05-16,P012,CATCHUP,2.552,3.162,3.406,2025-12-31T23:59:00
2025-05-16,P022,MAIN,5.423,7.634,9.845,2025-12-31T23:59:00
2025-05-16,P030,MAIN,3.083,3.817,4.064,2025-12-31T23:59:00
2025-05-16,P010,FACTUAL,4.707,6.201,6.661,2025-12-31T23:59:00
2025-05-16,P028,CATCHUP,3.212,4.621,5.778,2025-12-31T23:59:00
2025-05-31,P021,MOVIES,5.182,7.732,8.535,2025-12-31T23:59:00
2025-05-31,P008,EXTRA,2.941,3.42,4.064,2025-12-31T23:59:00
2025-05-31,P022,CATCHUP,2.298,3.502,4.298,2025-12-31T23:59:00
2025-05-31,P015,MAIN,1.884,2.224,2.781,2025-12-31T23:59:00
2025-05-31,P011,EXTRA,2.863,4.223,5.228,2025-12-31T23:59:00
2025-05-31,P009,FACTUAL,3.023,3.806,4.473,2025-12-31T23:59:00
2025-05-31,P010,FACTUAL,2.022,3.056,3.73,2025-12-31T23:59:00
2025-05-31,P017,MOVIES,3.912,5.863,7.328,2025-12-31T23:59:00
2025-05-31,P025,EXTRA,2.134,2.471,3.062,2025-12-31T23:59:00
2025-05-31,P002,FACTUAL,3.966,4.779,5.699,2025-12-31T23:59:00
2025-05-31,P026,FACTUAL,3.298,4.263,5.308,2025-12-31T23:59:00
2025-05-31,P023,CATCHUP,4.071,4.783,5.774,2025-12-31T23:59:00
2025-05-31,P014,EXTRA,2.545,2.86,3.314,2025-12-31T23:59:00
2025-05-31,P020,MOVIES,3.813,4.8,5.657,2025-12-31T23:59:00
2025-05-31,P012,EXTRA,4.171,5.402,6.403,2025-12-31T23:59:00
2025-06-15,P012,MOVIES,4.803,7.482,9.411,2025-12-31T23:59:00
2025-06-15,P018,MAIN,1.153,1.381,1.641,2025-12-31T23:59:00
2025-06-15,P024,EXTRA,2.985,4.769,5.681,2025-12-31T23:59:00
2025-06-15,P006,CATCHUP,0.658,0.897,1.011,2025-12-31T23:59:00
2025-06-15,P013,EXTRA,4.293,4.86,5.137,2025-12-31T23:59:00
2025-06-15,P004,FACTUAL,3.56,4.653,5.611,2025-12-31T23:59:00
2025-06-15,P028,EXTRA,2.86,3.395,4.405,2025-12-31T23:59:00
2025-06-15,P020,FACTUAL,1.647,2.219,2.844,2025-12-31T23:59:00
2025-06-15,P014,CATCHUP,3.094,3.907,4.441,2025-12-31T23:59:00
2025-06-15,P029,CATCHUP,2.766,3.87,4.856,2025-12-31T23:59:00
2025-06-15,P016,MOVIES,2.914,4.661,4.933,2025-12-31T23:59:00
2025-06-15,P009,MOVIES,2.508,3.683,4.474,2025-12-31T23:59:00
2025-06-15,P017,CATCHUP,5.276,7.431,8.074,2025-12-31T23:59:00
2025-06-15,P023,MOVIES,2.212,3.401,3.587,2025-12-31T23:59:00
2025-06-15,P030,MAIN,4.131,5.44,5.815,2025-12-31T23:59:00
2025-06-30,P002,CATCHUP,4.466,5.915,6.944,2025-12-31T23:59:00
2025-06-30,P027,MAIN,5.232,6.236,7.132,2025-12-31T23:59:00
2025-06-30,P013,CATCHUP,3.514,4.649,4.924,2025-12-31T23:59:00
2025-06-30,P019,MOVIES,4.0,4.653,5.206,2025-12-31T23:59:00
2025-06-30,P026,MOVIES,3.945,5.144,5.456,2025-12-31T23:59:00
2025-06-30,P030,FACTUAL,0.694,1.0,1.121,2025-12-31T23:59:00
2025-06-30,P022,CATCHUP,4.976,6.058,6.959,2025-12-31T23:59:00
2025-06-30,P016,MOVIES,3.496,5.281,6.462,2025-12-31T23:59:00
2025-06-30,P003,FACTUAL,4.49,7.072,7.513,2025-12-31T23:59:00
2025-06-30,P011,EXTRA,4.279,4.98,6.362,2025-12-31T23:59:00
2025-06-30,P029,FACTUAL,4.368,5.015,5.377,2025-12-31T23:59:00
2025-06-30,P021,EXTRA,5.002,7.154,7.855,2025-12-31T23:59:00
2025-06-30,P010,MAIN,1.208,1.393,1.52,2025-12-31T23:59:00
2025-06-30,P024,EXTRA,2.621,3.591,4.1,2025-12-31T23:59:00
2025-06-30,P006,CATCHUP,1.714,2.516,2.657,2025-12-31T23:59:00
2025-07-15,P018,FACTUAL,3.115,3.927,4.563,2025-12-31T23:59:00
2025-07-15,P010,MAIN,1.105,1.582,1.946,2025-12-31T23:59:00
2025-07-15,P008,CATCHUP,2.971,4.686,4.996,2025-12-31T23:59:00
2025-07-15,P027,MAIN,5.482,8.207,9.844,2025-12-31T23:59:00
2025-07-15,P028,FACTUAL,0.983,1.225,1.559,2025-12-31T23:59:00
2025-07-15,P029,CATCHUP,4.953,6.408,7.686,2025-12-31T23:59:00
2025-07-15,P025,CATCHUP,2.791,4.118,4.884,2025-12-31T23:59:00
2025-07-15,P030,MAIN,3.912,5.875,6.925,2025-12-31T23:59:00
2025-07-15,P023,EXTRA,2.225,3.245,3.602,2025-12-31T23:59:00
2025-07-15,P003,MOVIES,5.509,6.339,7.426,2025-12-31T23:59:00
2025-07-15,P012,CATCHUP,1.269,1.962,2.396,2025-12-31T23:59:00
2025-07-15,P013,CATCHUP,4.075,5.783,7.235,2025-12-31T23:59:00
2025-07-15,P022,MOVIES,1.134,1.369,1.69,2025-12-31T23:59:00
2025-07-15,P016,MAIN,3.561,4.836,5.959,2025-12-31T23:59:00
2025-07-15,P001,MOVIES,4.975,7.186,9.097,2025-12-31T23:59:00
2025-07-30,P024,MOVIES,1.691,1.909,2.149,2025-12-31T23:59:00
2025-07-30,P008,CATCHUP,4.867,5.742,6.426,2025-12-31T23:59:00
2025-07-30,P007,CATCHUP,2.867,3.508,4.404,2025-12-31T23:59:00
2025-07-30,P012,EXTRA,2.994,4.357,5.331,2025-12-31T23:59:00
2025-07-30,P005,CATCHUP,3.888,5.214,5.553,2025-12-31T23:59:00
2025-07-30,P011,EXTRA,2.307,2.9,3.644,2025-12-31T23:59:00
2025-07-30,P009,CATCHUP,1.599,2.539,3.148,2025-12-31T23:59:00
2025-07-30,P030,CATCHUP,2.307,3.315,3.952,2025-12-31T23:59:00
2025-07-30,P028,FACTUAL,5.415,6.635,8.44,2025-12-31T23:59:00
2025-07-30,P002,MOVIES,6.042,7.313,9.165,2025-12-31T23:59:00
2025-07-30,P019,FACTUAL,4.164,4.791,5.268,2025-12-31T23:59:00
2025-07-30,P006,CATCHUP,5.272,7.496,9.468,2025-12-31T23:59:00
2025-07-30,P014,MAIN,4.109,5.938,6.468,2025-12-31T23:59:00
2025-07-30,P017,MAIN,1.306,1.675,2.124,2025-12-31T23:59:00
2025-07-30,P023,FACTUAL,5.266,6.998,7.39,2025-12-31T23:59:00
2025-08-14,P017,MAIN,4.951,7.715,8.883,2025-12-31T23:59:00
2025-08-14,P016,MAIN,1.504,2.092,2.532,2025-12-31T23:59:00
2025-08-14,P024,FACTUAL,0.783,0.934,1.014,2025-12-31T23:59:00
2025-08-14,P010,CATCHUP,0.854,1.148,1.454,2025-12-31T23:59:00
2025-08-14,P007,EXTRA,4.376,6.995,8.588,2025-12-31T23:59:00
2025-08-14,P026,MAIN,1.751,2.615,3.385,2025-12-31T23:59:00
2025-08-14,P020,MAIN,3.566,5.212,6.275,2025-12-31T23:59:00
2025-08-14,P011,FACTUAL,5.461,6.104,7.919,2025-12-31T23:59:00
2025-08-14,P015,FACTUAL,4.483,6.417,7.065,2025-12-31T23:59:00
2025-08-14,P001,MOVIES,3.693,4.695,5.734,2025-12-31T23:59:00
2025-08-14,P013,CATCHUP,1.315,1.599,1.8,2025-12-31T23:59:00
2025-08-14,P030,EXTRA,4.263,6.236,7.57,2025-12-31T23:59:00
2025-08-14,P002,MOVIES,3.308,4.961,5.366,2025-12-31T23:59:00
2025-08-14,P009,MAIN,1.206,1.498,1.727,2025-12-31T23:59:00
2025-08-14,P027,EXTRA,2.193,3.173,3.843,2025-12-31T23:59:00
2025-08-29,P017,EXTRA,4.005,6.328,7.565,2025-12-31T23:59:00
2025-08-29,P011,FACTUAL,1.739,2.689,3.126,2025-12-31T23:59:00
2025-08-29,P013,CATCHUP,2.521,3.1,3.817,2025-12-31T23:59:00
2025-08-29,P023,CATCHUP,4.123,6.166,6.999,2025-12-31T23:59:00
2025-08-29,P028,FACTUAL,2.55,3.848,4.972,2025-12-31T23:59:00
2025-08-29,P004,EXTRA,3.842,5.68,6.912,2025-12-31T23:59:00
2025-08-29,P022,MAIN,3.195,5.013,5.892,2025-12-31T23:59:00
2025-08-29,P010,CATCHUP,4.455,7.123,8.891,2025-12-31T23:59:00
2025-08-29,P021,CATCHUP,2.611,3.513,4.325,2025-12-31T23:59:00
2025-08-29,P026,EXTRA,5.3,8.445,10.686,2025-12-31T23:59:00
2025-08-29,P020,CATCHUP,3.638,4.949,5.47,2025-12-31T23:59:00
2025-08-29,P019,EXTRA,4.084,6.53,7.32,2025-12-31T23:59:00
2025-08-29,P027,CATCHUP,4.076,5.945,7.218,2025-12-31T23:59:00
2025-08-29,P018,CATCHUP,5.346,8.415,9.673,2025-12-31T23:59:00
2025-08-29,P030,MAIN,1.381,2.185,2.427,2025-12-31T23:59:00
2025-09-13,P008,CATCHUP,1.041,1.38,1.728,2025-12-31T23:59:00
2025-09-13,P002,FACTUAL,4.138,6.382,7.872,2025-12-31T23:59:00
2025-09-13,P007,MAIN,3.464,5.528,7.124,2025-12-31T23:59:00
2025-09-13,P023,MOVIES,4.146,5.383,6.423,2025-12-31T23:59:00
2025-09-13,P003,MAIN,5.56,8.402,9.547,2025-12-31T23:59:00
2025-09-13,P020,CATCHUP,3.878,5.842,7.47,2025-12-31T23:59:00
2025-09-13,P018,FACTUAL,0.765,1.218,1.441,2025-12-31T23:59:00
2025-09-13,P028,EXTRA,3.624,5.232,6.027,2025-12-31T23:59:00
2025-09-13,P015,CATCHUP,2.55,3.197,3.651,2025-12-31T23:59:00
2025-09-13,P013,EXTRA,3.211,4.245,4.707,2025-12-31T23:59:00
2025-09-13,P026,MAIN,1.662,2.061,2.582,2025-12-31T23:59:00
2025-09-13,P022,FACTUAL,2.4,2.972,3.486,2025-12-31T23:59:00
2025-09-13,P009,MOVIES,2.889,4.254,5.416,2025-12-31T23:59:00
2025-09-13,P027,MOVIES,2.905,4.33,5.24,2025-12-31T23:59:00
2025-09-13,P012,MOVIES,2.359,2.661,3.223,2025-12-31T23:59:00
2025-09-28,P001,FACTUAL,5.366,7.481,9.545,2025-12-31T23:59:00
2025-09-28,P012,MAIN,0.519,0.607,0.759,2025-12-31T23:59:00
2025-09-28,P010,FACTUAL,4.8,6.49,7.404,2025-12-31T23:59:00
2025-09-28,P004,MAIN,4.498,5.725,7.281,2025-12-31T23:59:00
2025-09-28,P021,CATCHUP,2.844,4.519,4.972,2025-12-31T23:59:00
2025-09-28,P003,EXTRA,5.349,8.325,10.042,2025-12-31T23:59:00
2025-09-28,P024,EXTRA,5.248,6.631,7.303,2025-12-31T23:59:00
2025-09-28,P030,MAIN,4.096,4.557,5.155,2025-12-31T23:59:00
2025-09-28,P028,MOVIES,4.361,5.803,7.2,2025-12-31T23:59:00
2025-09-28,P019,MOVIES,1.759,2.058,2.606,2025-12-31T23:59:00
2025-09-28,P002,EXTRA,6.027,9.485,11.398,2025-12-31T23:59:00
2025-09-28,P007,MOVIES,2.67,3.13,3.432,2025-12-31T23:59:00
2025-09-28,P009,MOVIES,4.42,6.474,7.327,2025-12-31T23:59:00
2025-09-28,P013,FACTUAL,4.189,6.228,6.7,2025-12-31T23:59:00
2025-09-28,P020,MAIN,3.951,6.018,7.127,2025-12-31T23:59:00
2025-10-13,P029,EXTRA,4.735,7.333,8.158,2025-12-31T23:59:00
2025-10-13,P008,MOVIES,4.672,7.399,8.564,2025-12-31T23:59:00
2025-10-13,P011,CATCHUP,0.835,1.118,1.181,2025-12-31T23:59:00
2025-10-13,P024,FACTUAL,4.788,6.854,8.006,2025-12-31T23:59:00
2025-10-13,P010,FACTUAL,2.595,4.014,4.68,2025-12-31T23:59:00
2025-10-13,P001,MOVIES,6.342,8.325,10.218,2025-12-31T23:59:00
2025-10-13,P020,MAIN,2.939,4.564,5.521,2025-12-31T23:59:00
2025-10-13,P006,EXTRA,3.055,3.682,4.556,2025-12-31T23:59:00
2025-10-13,P019,MOVIES,3.778,5.846,6.664,2025-12-31T23:59:00
2025-10-13,P015,EXTRA,0.916,1.19,1.367,2025-12-31T23:59:00
2025-10-13,P028,CATCHUP,3.19,4.47,4.973,2025-12-31T23:59:00
2025-10-13,P007,MAIN,0.841,1.092,1.258,2025-12-31T23:59:00
2025-10-13,P021,CATCHUP,0.796,0.96,1.084,2025-12-31T23:59:00
2025-10-13,P013,FACTUAL,2.918,4.258,4.498,2025-12-31T23:59:00
2025-10-13,P003,MAIN,3.156,3.659,4.242,2025-12-31T23:59:00
2025-10-28,P017,MAIN,3.189,5.029,6.26,2025-12-31T23:59:00
2025-10-28,P008,MOVIES,4.329,5.545,6.705,2025-12-31T23:59:00
2025-10-28,P029,MOVIES,1.269,1.442,1.802,2025-12-31T23:59:00
2025-10-28,P003,FACTUAL,6.389,8.037,8.81,2025-12-31T23:59:00
2025-10-28,P019,MAIN,2.668,3.759,4.348,2025-12-31T23:59:00
2025-10-28,P002,EXTRA,5.753,7.528,8.062,2025-12-31T23:59:00
